target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2013,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.34573055004375547,0.596748784984079,0.04142584408932824,0.036308623298033284,0.5333333333333333,0.018794048551292093,0.527526395173454,0.472473604826546,0.4666666666666667,1399,1253,21,24,0.4734890619206526,0.5265109380793473
heart_related_event_by_2013,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3897392295866974,0.6558907323613206,0.03645793704211811,0.04204993429697766,0.7111111111111111,0.021665538253215978,0.4551282051282051,0.5448717948717948,0.28888888888888886,1207,1445,13,32,0.5476455320726733,0.4523544679273267
heart_related_event_by_2013,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4288536012172699,0.616427853192559,0.02560693264818311,0.04065573770491804,0.6888888888888889,0.020945945945945947,0.45361990950226244,0.5463800904977375,0.3111111111111111,1203,1449,14,31,0.5487578791249537,0.45124212087504634
heart_related_event_by_2013,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.35378964201767604,0.6330693815987934,0.0361957752711773,0.04951856946354884,0.4,0.026392961876832845,0.7496229260935143,0.25037707390648567,0.6,1988,664,27,18,0.25287356321839083,0.7471264367816092
heart_related_event_by_2013,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5116730838092507,0.6592006033182504,0.033209128355717904,0.051199999999999996,0.35555555555555557,0.027586206896551724,0.7873303167420814,0.21266968325791855,0.6444444444444445,2088,564,29,16,0.21505376344086022,0.7849462365591398
heart_related_event_by_2013,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3762472269021991,0.6384615384615384,0.07805446611969175,0.04275534441805225,0.6,0.022167487684729065,0.5509049773755657,0.4490950226244344,0.4,1461,1191,18,27,0.45161290322580644,0.5483870967741935
heart_related_event_by_2013,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4127897598409157,0.6615552203787498,0.057644889116952154,0.04513399153737659,0.7111111111111111,0.023306627822286964,0.49434389140271495,0.505656108597285,0.28888888888888886,1311,1341,13,32,0.5090841675936225,0.4909158324063775
heart_related_event_by_2013,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.48035353422164917,0.6229051449639684,0.028712666816447425,0.0425208807896735,0.6222222222222222,0.0220125786163522,0.530920060331825,0.46907993966817496,0.37777777777777777,1408,1244,17,28,0.47163515016685204,0.5283648498331479
heart_related_event_by_2013,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.39312575116284004,0.6607047092341211,0.057892766587127165,0.060390763765541734,0.37777777777777777,0.032818532818532815,0.8110859728506787,0.18891402714932126,0.6222222222222222,2151,501,28,17,0.19206525769373378,0.8079347423062662
heart_related_event_by_2013,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.45610297520045145,0.6556142114965645,0.053717436051650906,0.050052137643378514,0.5333333333333333,0.0262582056892779,0.6644042232277526,0.33559577677224733,0.4666666666666667,1762,890,21,24,0.3388950685947349,0.661104931405265
