communityID,householdID,ID,HH_weight,HH_weight_ad1,ind_weight,ind_weight_ad1,ind_weight_ad2,bio_weight1,bio_weight2,iyear,imonth,urID,mainr
0101041,010104101,01010410101,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31045.01171875,,,2011,07,480,0
0101041,010104101,01010410102,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31097.794921875,67414.8515625,67928.6640625,2011,07,480,1
0101041,010104102,01010410201,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30989.51171875,,,2011,08,480,0
0101041,010104102,01010410202,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31020.931640625,46439.484375,46677.76953125,2011,08,480,1
0101041,010104103,01010410301,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31113.830078125,,,2011,08,479,1
0101041,010104103,01010410302,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31045.01171875,,,2011,08,479,0
0101041,010104104,01010410401,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31015.796875,46439.484375,46670.04296875,2011,07,479,0
0101041,010104104,01010410402,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31007.412109375,,,2011,07,479,1
0101041,010104105,01010410501,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30956.919921875,,,2011,08,479,1
0101041,010104105,01010410502,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30984.21875,50640.66015625,50840.26171875,2011,08,479,0
0101041,010104106,01010410601,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30922.037109375,,,2011,07,480,0
0101041,010104106,01010410602,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30952.982421875,49357.92578125,49502.51953125,2011,07,480,1
0101041,010104107,01010410701,24432.87109375,30862.572265625,48865.7421875,61725.14453125,61894.42578125,96373.96875,96638.28125,2011,07,480,1
0101041,010104107,01010410702,24432.87109375,30862.572265625,48865.7421875,61725.14453125,,,,2011,07,480,0
0101041,010104108,01010410801,24432.87109375,30862.572265625,24432.87109375,30862.572265625,30993.76953125,48783.72265625,48991.1015625,2011,08,480,1
0101041,010104108,01010410802,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31026.240234375,57114.7421875,57417.62890625,2011,08,480,0
0101041,010104109,01010410901,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31122.25,74964.34375,75595.09375,2011,07,480,1
0101041,010104109,01010410902,24432.87109375,30862.572265625,24432.87109375,30862.572265625,31051.126953125,,,2011,07,480,0
0101041,010104110,01010411001,48865.7421875,61725.14453125,48865.7421875,61725.14453125,61979.0234375,,,2011,07,479,0
