communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
0563023,ËÄ´¨Ê¡,Sichuan,ÒË±öÊÐ,Yibin,0,220,20151118
0563461,ËÄ´¨Ê¡,Sichuan,ÒË±öÊÐ,Yibin,0,220,20151118
0563462,ËÄ´¨Ê¡,Sichuan,ÒË±öÊÐ,Yibin,1,122,20151118
0563463,ËÄ´¨Ê¡,Sichuan,ÒË±öÊÐ,Yibin,1,121,20151118
0566041,ËÄ´¨Ê¡,Sichuan,×ÊÑôÊÐ,Ziyang,0,220,20151118
0566042,ËÄ´¨Ê¡,Sichuan,×ÊÑôÊÐ,Ziyang,0,220,20151118
0566043,ËÄ´¨Ê¡,Sichuan,×ÊÑôÊÐ,Ziyang,1,122,20151118
0574571,ËÄ´¨Ê¡,Sichuan,ÄÚ½­ÊÐ,Neijiang,0,220,20151118
0574572,ËÄ´¨Ê¡,Sichuan,ÄÚ½­ÊÐ,Neijiang,0,220,20151118
0574573,ËÄ´¨Ê¡,Sichuan,ÄÚ½­ÊÐ,Neijiang,0,220,20151118
0576331,ËÄ´¨Ê¡,Sichuan,¸Ê×Î²Ø×å×ÔÖÎÖÝ,Ganzi,0,210,20151118
0576332,ËÄ´¨Ê¡,Sichuan,¸Ê×Î²Ø×å×ÔÖÎÖÝ,Ganzi,0,220,20151118
0576333,ËÄ´¨Ê¡,Sichuan,¸Ê×Î²Ø×å×ÔÖÎÖÝ,Ganzi,0,220,20151118
0582021,ËÄ´¨Ê¡,Sichuan,ÃàÑôÊÐ,Mianyang,1,121,20151118
0582022,ËÄ´¨Ê¡,Sichuan,ÃàÑôÊÐ,Mianyang,0,220,20151118
0582023,ËÄ´¨Ê¡,Sichuan,ÃàÑôÊÐ,Mianyang,1,121,20151118
0586591,ËÄ´¨Ê¡,Sichuan,Ã¼É½ÊÐ,Meishan,0,220,20151118
0586592,ËÄ´¨Ê¡,Sichuan,Ã¼É½ÊÐ,Meishan,1,121,20151118
