ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad2,versionID
094004111002,0940041110,0940041,29751.6640625,63753.56584821428,30363.923828125,44424.17010681367,20200914
094004111001,0940041110,0940041,29751.6640625,63753.56584821428,30106.419921875,41478.97599390746,20200914
094004112001,0940041120,0940041,29751.6640625,63753.56584821428,30385.720703125,48661.183181887995,20200914
094004118001,0940041180,0940041,29751.6640625,63753.56584821428,30366.990234375,44428.656435841425,20200914
094004118002,0940041180,0940041,29751.6640625,63753.56584821428,30111.775390625,41377.554029922474,20200914
094004119002,0940041190,0940041,29751.6640625,63753.56584821428,30424.904296875,50827.60655851455,20200914
094004122001,0940041220,0940041,29751.6640625,63753.56584821428,30331.17578125,45134.812894647745,20200914
094004122002,0940041220,0940041,29751.6640625,63753.56584821428,30082.447265625,41945.10951207274,20200914
094004117002,0940041170,0940041,29751.6640625,63753.56584821428,30418.212890625,50816.427947700206,20200914
094004117001,0940041170,0940041,29751.6640625,63753.56584821428,30135.94921875,48995.818821950335,20200914
094004107001,0940041070,0940041,29751.6640625,63753.56584821428,30354.814453125,44546.59012785364,20200914
094004313001,0940043130,0940043,47629.25390625,56289.11825284091,48156.1640625,69186.44096449201,20200914
094004317002,0940043170,0940043,47629.25390625,56289.11825284091,48244.453125,80596.80510876948,20200914
094004317001,0940043170,0940043,47629.25390625,56289.11825284091,48685.71484375,81333.97347620664,20200914
094004316002,0940043160,0940043,47629.25390625,56289.11825284091,48547.765625,72242.31377446731,20200914
094004316001,0940043160,0940043,47629.25390625,56289.11825284091,48164.125,67157.08598570985,20200914
094004308001,0940043080,0940043,47629.25390625,56289.11825284091,48208.64453125,66245.04094906907,20200914
094004303001,0940043030,0940043,47629.25390625,56289.11825284091,48680.4453125,81325.17023861846,20200914
094004303002,0940043030,0940043,47629.25390625,56289.11825284091,48232.27734375,78417.30502499356,20200914
094004307001,0940043070,0940043,47629.25390625,56289.11825284091,48664.8046875,81299.04113313065,20200914
094004307002,0940043070,0940043,47629.25390625,56289.11825284091,48232.27734375,78417.30502499356,20200914
094004319001,0940043190,0940043,47629.25390625,56289.11825284091,48183.16796875,67274.25695235755,20200914
094004319003,0940043190,0940043,47629.25390625,56289.11825284091,48183.16796875,70710.22746259821,20200914
094004320001,0940043200,0940043,47629.25390625,56289.11825284091,48685.71484375,81333.97347620664,20200914
094004320002,0940043200,0940043,47629.25390625,56289.11825284091,48232.27734375,78417.30502499356,20200914
094004322001,0940043220,0940043,18066.265955482955,21351.041583752583,21351.041583752583,32891.481262508474,20200914
094004318001,0940043180,0940043,47629.25390625,56289.11825284091,48183.16796875,67274.25695235755,20200914
094004318002,0940043180,0940043,47629.25390625,56289.11825284091,48580.46484375,72404.05452006526,20200914
094004311002,0940043110,0940043,47629.25390625,56289.11825284091,48538.62890625,72228.71772747507,20200914
094004311001,0940043110,0940043,47629.25390625,56289.11825284091,48156.1640625,69186.44096449201,20200914
094004219001,0940042190,0940042,53817.7890625,98665.94661458337,109053.90625,182184.60069612964,20200914
094004219002,0940042190,0940042,53817.7890625,98665.94661458337,110132.859375,183987.09132674805,20200914
094004220002,0940042200,0940042,53817.7890625,98665.94661458337,55011.515625,91901.80666113939,20200914
094004220001,0940042200,0940042,53817.7890625,98665.94661458337,54485.67578125,80962.81097131925,20200914
094004223002,0940042230,0940042,53817.7890625,98665.94661458337,54499.1640625,88606.17427283927,20200914
