ID,householdID,communityID,HHmemberID,za006,a006,za002,a002,za003_1,a003_1,a003_2,a004,a009,a013,a014,a015,versionID
010104102002,0101041020,0101041,4,8,8,2,,1983,,,1,1,2,,4,20151118
010104102002,0101041020,0101041,5,9,9,1,,2004,,,6,1,1,2,,20151118
010104102002,0101041020,0101041,6,9,9,2,,2010,,,6,1,,,,20151118
010104106001,0101041060,0101041,4,8,8,2,,1968,,,1,1,2,,3,20151118
010104106001,0101041060,0101041,5,9,9,2,,1996,,,6,1,1,14,,20151118
010104106001,0101041060,0101041,6,,9,,2,,1991,11,6,1,2,,8,20151118
010104107001,0101041070,0101041,4,8,8,2,,1958,,,1,1,2,,1,20151118
010104107001,0101041070,0101041,5,9,9,1,,1976,,,1,1,2,,2,20151118
010104107001,0101041070,0101041,6,9,9,2,,1982,,,1,1,2,,5,20151118
010104107001,0101041070,0101041,7,9,12,2,,2004,,,6,1,1,3,,20151118
010104107001,0101041070,0101041,8,9,12,1,,2005,,,6,1,1,1,,20151118
010104108002,0101041080,0101041,3,9,9,1,,2007,,,6,1,,,,20151118
010104108002,0101041080,0101041,5,8,8,2,,1987,,,3,1,2,,4,20151118
010104110002,0101041100,0101041,4,8,8,2,,1979,,,1,1,2,,4,20151118
010104110002,0101041100,0101041,5,9,9,2,,2003,,,6,1,1,5,,20151118
010104110002,0101041100,0101041,6,9,9,2,,2011,,,6,1,,,,20151118
010104111001,0101041110,0101041,3,8,8,2,,1984,,,1,1,2,,1,20151118
010104111001,0101041110,0101041,4,9,9,2,,2005,,,6,1,1,1,,20151118
010104111001,0101041110,0101041,5,9,9,1,,2011,,,6,1,,,,20151118
010104112001,0101041120,0101041,4,,9,,2,,2011,11,6,1,,,,20151118
010104113001,0101041130,0101041,3,8,7,1,,1987,,,1,1,2,,5,20151118
010104113001,0101041130,0101041,5,9,9,2,,2011,,,6,1,,,,20151118
010104114002,0101041140,0101041,4,8,8,2,,1981,,,1,1,2,,4,20151118
010104114002,0101041140,0101041,5,9,9,2,,2005,,,6,1,1,1,,20151118
010104115001,0101041150,0101041,5,,7,,1,,1995,9,6,1,2,,5,20151118
010104117002,0101041170,0101041,4,8,8,2,,1977,,,1,1,2,,1,20151118
010104117002,0101041170,0101041,6,9,9,1,,2006,,,6,1,2,,,20151118
010104118001,0101041180,0101041,6,,8,,2,,,,1,1,,,,20151118
010104118001,0101041180,0101041,7,,9,,2,,2012,11,6,1,,,,20151118
010104119001,0101041190,0101041,4,8,8,2,,1988,,,1,1,2,,,20151118
010104119001,0101041190,0101041,5,9,9,2,,2009,,,6,1,,,,20151118
010104120002,0101041200,0101041,7,,8,,2,,,,,,,,,20151118
010104120002,0101041200,0101041,8,,9,,1,,2011,5,6,1,,,,20151118
010104123001,0101041230,0101041,2,,8,,2,,1971,4,1,1,2,,1,20151118
010104123001,0101041230,0101041,4,,9,,1,,2001,7,6,1,1,5,,20151118
010104123001,0101041230,0101041,5,,9,,1,,1995,12,6,1,2,,5,20151118
010104124001,0101041240,0101041,7,,8,,1,,1992,12,1,1,2,,5,20151118
010104128002,0101041280,0101041,4,,8,,2,,1989,1,1,1,2,,1,20151118
010104128002,0101041280,0101041,5,,9,,2,,2010,1,6,1,,,,20151118
010104128002,0101041280,0101041,6,,9,,2,,2008,1,6,1,,,,20151118
010104129002,0101041290,0101041,4,,8,,1,,1973,,3,1,2,,1,20151118
010104129002,0101041290,0101041,5,,9,,1,,1996,10,6,1,1,11,,20151118
010104129002,0101041290,0101041,6,,9,,2,,2002,4,6,1,1,4,,20151118
010104201002,0101042010,0101042,3,8,8,1,,1980,,,1,2,2,,9,20151118
010104201002,0101042010,0101042,4,9,9,1,,2006,,,6,2,1,1,,20151118
010104203001,0101042030,0101042,4,8,8,1,,1970,,,1,2,2,,4,20151118
010104203001,0101042030,0101042,5,9,9,1,,2000,,,6,1,1,6,,20151118
010104203001,0101042030,0101042,6,9,9,2,,1998,,,6,1,1,9,,20151118
010104204001,0101042040,0101042,2,8,8,2,,1986,,,1,1,2,,5,20151118
010104204001,0101042040,0101042,4,9,9,1,,2007,,,6,1,,,,20151118
010104207001,0101042070,0101042,5,,,,,,,,,,,,,20151118
010104207001,0101042070,0101042,6,,8,,2,,1976,10,1,2,2,,6,20151118
010104207001,0101042070,0101042,7,,8,,2,,1971,9,5,2,2,,5,20151118
010104208001,0101042080,0101042,4,,9,,2,,2011,3,6,2,,,,20151118
010104209001,0101042090,0101042,2,,8,,2,,,,1,2,,,,20151118
010104209001,0101042090,0101042,3,,9,,1,,1990,,6,2,2,,5,20151118
010104210001,0101042100,0101042,2,,,,,,,,,,,,,20151118
010104210001,0101042100,0101042,3,,8,,2,,1965,4,1,2,2,,6,20151118
010104210001,0101042100,0101042,4,,9,,2,,2008,7,6,2,,,,20151118
010104212001,0101042120,0101042,2,8,8,2,,1978,,,1,2,2,,5,20151118
010104212001,0101042120,0101042,3,9,9,2,,2010,,,6,2,,,,20151118
010104219001,0101042190,0101042,4,8,8,2,,1989,,,1,1,2,,6,20151118
010104219001,0101042190,0101042,5,9,9,1,,2011,,,6,2,,,,20151118
010104220001,0101042200,0101042,3,8,8,2,,1973,,,1,1,2,,6,20151118
010104220001,0101042200,0101042,4,9,9,2,,2001,,,6,,1,7,,20151118
010104221001,0101042210,0101042,4,,8,,1,,,,1,1,,,,20151118
010104221001,0101042210,0101042,5,,9,,2,,2001,8,6,2,1,7,,20151118
010104221001,0101042210,0101042,6,,9,,2,,2011,,6,2,,,,20151118
010104222002,0101042220,0101042,4,8,8,2,,1982,,,1,2,2,,5,20151118
010104222002,0101042220,0101042,5,9,9,2,,2006,,,6,2,1,1,,20151118
010104225001,0101042250,0101042,4,8,8,2,,1977,,,1,2,2,,5,20151118
010104225001,0101042250,0101042,6,,8,,2,,1979,8,2,2,2,,8,20151118
010104226002,0101042260,0101042,4,8,8,2,,1980,,,1,2,2,,7,20151118
010104226002,0101042260,0101042,5,9,9,2,,2007,,,6,2,,,,20151118
010104227001,0101042270,0101042,3,,9,,1,,1998,,6,2,1,7,,20151118
010104228002,0101042280,0101042,2,8,8,2,,1976,,,1,2,2,,7,20151118
010104228002,0101042280,0101042,4,9,9,2,,2002,,,6,2,1,7,,20151118
010104231001,0101042310,0101042,3,,7,,2,,1991,6,6,2,1,20,,20151118
010104233001,0101042330,0101042,3,,9,,1,,1995,4,6,2,2,,7,20151118
010104233001,0101042330,0101042,5,,8,,2,,1973,9,1,2,2,,5,20151118
010104233001,0101042330,0101042,6,,9,,1,,1993,10,6,2,2,,7,20151118
010104234002,0101042340,0101042,3,,8,,1,,1981,2,1,2,2,,9,20151118
010104234002,0101042340,0101042,4,,7,,1,,1981,2,1,2,2,,9,20151118
010104234002,0101042340,0101042,5,,8,,2,,,,1,2,,,,20151118
010104234002,0101042340,0101042,6,,8,,2,,,,1,2,,,,20151118
010104234002,0101042340,0101042,7,,9,,1,,2011,1,6,2,,,,20151118
010104234002,0101042340,0101042,8,,9,,1,,2013,3,6,2,,,,20151118
010104301001,0101043010,0101043,4,8,8,2,,1975,,,1,1,2,,5,20151118
010104301001,0101043010,0101043,5,9,9,2,,1998,,,6,1,1,11,,20151118
010104301001,0101043010,0101043,6,9,9,1,,2004,,,6,1,1,4,,20151118
010104302001,0101043020,0101043,4,,9,,2,,2002,10,6,1,1,4,,20151118
010104303001,0101043030,0101043,4,8,8,2,,1986,,,1,1,2,,4,20151118
010104303001,0101043030,0101043,5,9,9,1,,2008,,,6,1,,,,20151118
010104303001,0101043030,0101043,6,10,5,1,,1949,,,1,1,2,,1,20151118
010104303001,0101043030,0101043,7,,9,,2,,2012,12,6,1,,,,20151118
010104304001,0101043040,0101043,3,9,9,2,,1993,,,6,1,2,,5,20151118
010104304001,0101043040,0101043,4,8,8,2,,1973,,,1,1,2,,4,20151118
010104304001,0101043040,0101043,5,9,9,1,,1997,,,6,1,1,9,,20151118
010104305001,0101043050,0101043,3,8,8,2,,1987,,,1,1,2,,4,20151118
010104305001,0101043050,0101043,4,9,9,1,,2008,,,6,1,,,,20151118
010104306001,0101043060,0101043,5,8,8,2,,1979,,,1,1,2,,2,20151118
010104306001,0101043060,0101043,6,9,9,1,,2000,,,6,1,1,7,,20151118
010104306001,0101043060,0101043,7,9,9,2,,2005,,,6,1,1,2,,20151118
010104306001,0101043060,0101043,8,9,8,1,,2005,,,6,1,1,2,,20151118
010104308001,0101043080,0101043,3,8,8,2,,1976,,,1,1,2,,2,20151118
010104308001,0101043080,0101043,4,9,9,1,,2002,,,6,1,1,4,,20151118
010104308001,0101043080,0101043,5,9,9,1,,2007,,,6,1,,,,20151118
010104311002,0101043110,0101043,4,8,8,2,,1984,,,1,1,2,,2,20151118
010104311002,0101043110,0101043,5,9,9,2,,2005,,,6,1,1,2,,20151118
010104311002,0101043110,0101043,6,9,9,2,,2010,,,6,1,,,,20151118
010104312002,0101043120,0101043,5,8,8,2,,1987,,,1,1,2,,2,20151118
010104312002,0101043120,0101043,6,9,9,1,,2010,,,6,1,,,,20151118
010104314002,0101043140,0101043,3,,7,,1,,1983,2,1,1,2,,2,20151118
010104314002,0101043140,0101043,4,,8,,2,,,,1,1,,,,20151118
010104315001,0101043150,0101043,4,8,8,2,,1977,,,1,1,2,,1,20151118
010104315001,0101043150,0101043,5,9,9,1,,2004,,,6,1,1,2,,20151118
010104315001,0101043150,0101043,6,9,9,2,,2009,,,6,1,,,,20151118
010104316002,0101043160,0101043,4,8,8,2,,1968,,,1,1,2,,1,20151118
010104316002,0101043160,0101043,5,9,9,1,,1990,,,1,1,2,,5,20151118
010104316002,0101043160,0101043,6,9,12,2,,1988,,,1,1,2,,4,20151118
010104316002,0101043160,0101043,7,10,12,1,,2010,,,6,1,,,,20151118
010104317001,0101043170,0101043,5,8,8,1,,1982,,,1,1,2,,4,20151118
010104317001,0101043170,0101043,6,9,9,2,,2007,,,6,1,,,,20151118
010104320001,0101043200,0101043,4,8,8,2,,1986,,,1,1,2,,5,20151118
010104320001,0101043200,0101043,6,9,9,2,,2008,,,6,1,,,,20151118
010104320001,0101043200,0101043,7,,8,,2,,1989,,1,1,2,,5,20151118
010104321002,0101043210,0101043,4,8,8,1,,1985,,,2,1,2,,4,20151118
010104321002,0101043210,0101043,5,9,9,2,,2008,,,6,1,,,,20151118
010104321002,0101043210,0101043,6,,9,,1,,2011,10,6,1,,,,20151118
010104322002,0101043220,0101043,4,8,8,1,,1978,,,1,1,2,,5,20151118
010104322002,0101043220,0101043,5,9,9,1,,2004,,,6,1,1,4,,20151118
010104323001,0101043230,0101043,4,8,8,1,,1969,,,1,1,2,,5,20151118
010104323001,0101043230,0101043,5,9,9,1,,1996,,,6,1,1,13,,20151118
010104323001,0101043230,0101043,6,9,9,2,,1997,,,6,1,1,11,,20151118
010104323001,0101043230,0101043,7,,7,,,,,,,,,,,20151118
010104325001,0101043250,0101043,3,6,8,2,,1971,,,1,1,2,,1,20151118
010104325001,0101043250,0101043,4,9,9,2,,1995,,,1,1,2,,5,20151118
010104325001,0101043250,0101043,5,9,9,1,,1998,,,6,1,1,9,,20151118
010104326001,0101043260,0101043,3,8,8,2,,1976,,,2,1,2,,1,20151118
010104326001,0101043260,0101043,4,9,9,1,,1999,,,6,1,1,7,,20151118
010104326001,0101043260,0101043,5,9,9,1,,2004,,,6,1,1,3,,20151118
010104327002,0101043270,0101043,4,8,8,2,,1974,,,1,1,2,,4,20151118
010104327002,0101043270,0101043,5,9,9,1,,1995,,,6,1,2,,5,20151118
010104327002,0101043270,0101043,6,9,9,2,,1997,,,6,1,1,12,,20151118
010104328001,0101043280,0101043,3,8,,1,,1971,,,,,,,,20151118
010104328001,0101043280,0101043,5,9,9,1,,1992,,,6,1,2,,7,20151118
010104328001,0101043280,0101043,6,9,9,2,,1994,,,6,1,2,,5,20151118
010104329002,0101043290,0101043,4,8,7,1,,1971,,,1,1,2,,2,20151118
010104329002,0101043290,0101043,5,9,9,1,,2002,,,6,1,1,5,,20151118
010104329002,0101043290,0101043,6,9,9,1,,2007,,,6,1,,,,20151118
010104330001,0101043300,0101043,2,8,8,1,,1973,,,1,1,2,,4,20151118
010104330001,0101043300,0101043,4,9,9,2,,1993,,,6,1,1,15,,20151118
010104330001,0101043300,0101043,5,9,9,2,,1996,,,6,1,1,15,,20151118
010206101001,0102061010,0102061,4,,8,,2,,1977,11,1,1,2,,4,20151118
010206101001,0102061010,0102061,5,,9,,1,,1997,7,6,1,1,8,,20151118
010206102002,0102061020,0102061,5,8,8,2,,1989,,,1,1,2,,5,20151118
010206102002,0102061020,0102061,6,9,9,2,,2010,,,6,1,,,,20151118
010206102002,0102061020,0102061,8,,8,,2,,1982,11,1,1,2,,7,20151118
010206102002,0102061020,0102061,9,,9,,1,,2008,11,6,1,,,,20151118
010206104001,0102061040,0102061,4,8,8,2,,1986,,,1,1,2,,4,20151118
010206104001,0102061040,0102061,5,9,8,1,,2007,,,6,1,,,,20151118
010206105001,0102061050,0102061,3,8,8,2,,1968,,,1,1,2,,2,20151118
010206106001,0102061060,0102061,4,8,8,2,,1980,,,1,1,2,,2,20151118
010206106001,0102061060,0102061,5,9,9,2,,2003,,,6,1,1,3,,20151118
010206106001,0102061060,0102061,6,9,9,1,,2010,,,6,1,,,,20151118
010206107002,0102061070,0102061,4,8,8,2,,1975,,,2,1,2,,4,20151118
010206107002,0102061070,0102061,5,9,9,2,,1994,,,6,1,1,17,,20151118
010206107002,0102061070,0102061,6,9,9,1,,2002,,,6,1,1,4,,20151118
010206111001,0102061110,0102061,5,8,8,2,,1989,,,1,2,2,,7,20151118
010206111001,0102061110,0102061,6,9,9,2,,2011,,,6,2,,,,20151118
010206112001,0102061120,0102061,4,8,8,2,,1981,,,1,1,2,,4,20151118
010206112001,0102061120,0102061,5,9,9,2,,2004,,,6,1,1,3,,20151118
010206114001,0102061140,0102061,2,9,9,1,,1977,,,1,1,2,,4,20151118
010206114001,0102061140,0102061,3,10,12,2,,1975,,,1,1,2,,2,20151118
010206114001,0102061140,0102061,4,10,12,1,,1986,,,6,1,1,8,,20151118
010206114001,0102061140,0102061,5,10,12,1,,2002,,,6,1,1,4,,20151118
010206114001,0102061140,0102061,7,,8,,2,,1964,,1,1,2,,1,20151118
010206115001,0102061150,0102061,2,8,8,2,,1979,,,1,1,2,,1,20151118
010206115001,0102061150,0102061,3,9,9,1,,2003,,,6,1,1,3,,20151118
010206116001,0102061160,0102061,4,8,8,2,,1985,,,1,1,2,,4,20151118
010206116001,0102061160,0102061,5,9,9,1,,2007,,,6,1,,,,20151118
010206116001,0102061160,0102061,6,10,12,2,,1999,,,6,1,1,8,,20151118
010206117002,0102061170,0102061,4,9,9,1,,2011,,,6,1,,,,20151118
010206117101,0102061171,0102061,4,,9,,1,,1995,10,6,1,1,16,,20151118
010206117101,0102061171,0102061,5,,9,,1,,2004,8,6,1,1,2,,20151118
010206122002,0102061220,0102061,3,,9,,1,,1981,5,1,1,2,,5,20151118
010206122002,0102061220,0102061,4,,12,,2,,1981,12,1,1,2,,4,20151118
010206122002,0102061220,0102061,5,,12,,1,,2005,9,6,1,1,1,,20151118
010206124001,0102061240,0102061,4,9,9,1,,2002,,,6,1,1,3,,20151118
010206124001,0102061240,0102061,5,9,9,2,,2006,,,6,1,2,,,20151118
010206127001,0102061270,0102061,4,,8,,1,,1962,4,2,1,2,,2,20151118
010206127001,0102061270,0102061,5,,9,,1,,1988,1,1,1,2,,4,20151118
010206127001,0102061270,0102061,6,,9,,2,,1989,5,1,1,2,,4,20151118
010206127001,0102061270,0102061,7,,12,,1,,2012,3,6,1,,,,20151118
010206202001,0102062020,0102062,2,8,8,2,,1976,,,2,1,2,,1,20151118
010206202001,0102062020,0102062,3,9,9,2,,2004,,,6,1,1,1,,20151118
010206202001,0102062020,0102062,4,9,9,2,,2008,,,6,1,,,,20151118
010206203001,0102062030,0102062,2,,6,,2,,,,1,2,,,,20151118
010206203001,0102062030,0102062,3,,12,,2,,1978,12,5,1,2,,1,20151118
010206203001,0102062030,0102062,4,,5,,1,,1948,6,1,2,2,,1,20151118
010206203001,0102062030,0102062,5,,12,,1,,1997,9,6,1,1,8,,20151118
010206203001,0102062030,0102062,6,,12,,2,,2002,8,6,1,1,3,,20151118
010206204001,0102062040,0102062,3,8,8,1,,1973,,,1,2,2,,4,20151118
010206204001,0102062040,0102062,4,9,9,1,,2003,,,6,1,1,2,,20151118
010206204001,0102062040,0102062,5,9,9,1,,2008,,,6,1,,,,20151118
010206206002,0102062060,0102062,4,8,8,2,,1983,,,1,1,2,,5,20151118
010206206002,0102062060,0102062,5,9,9,2,,2003,,,6,1,1,3,,20151118
010206206002,0102062060,0102062,6,9,9,2,,2008,,,6,1,,,,20151118
010206211002,0102062110,0102062,4,8,8,2,,1980,,,1,1,2,,5,20151118
010206211002,0102062110,0102062,5,9,9,1,,2004,,,6,1,1,2,,20151118
010206211002,0102062110,0102062,6,9,9,2,,2009,,,6,1,,,,20151118
010206212002,0102062120,0102062,4,8,8,2,,1980,,,1,1,2,,2,20151118
010206212002,0102062120,0102062,5,9,9,2,,2004,,,6,1,1,3,,20151118
010206212002,0102062120,0102062,6,9,9,1,,2008,,,6,1,,,,20151118
010206213003,0102062130,0102062,2,8,8,2,,1983,,,1,1,2,,5,20151118
010206213003,0102062130,0102062,5,9,9,1,,2003,,,6,1,1,4,,20151118
010206213003,0102062130,0102062,6,9,9,2,,2007,,,6,1,,,,20151118
010206214001,0102062140,0102062,4,8,8,2,,1983,,,1,1,2,,5,20151118
010206214001,0102062140,0102062,5,9,9,1,,2007,,,6,1,,,,20151118
010206215002,0102062150,0102062,4,8,8,2,,1989,,,1,1,2,,5,20151118
010206215002,0102062150,0102062,6,,9,,1,,2012,8,6,1,,,,20151118
010206216001,0102062160,0102062,4,8,8,2,,1982,,,1,1,2,,5,20151118
010206216001,0102062160,0102062,5,9,9,1,,2005,,,6,1,1,1,,20151118
010206216001,0102062160,0102062,6,9,9,1,,2009,,,6,1,,,,20151118
010206218001,0102062180,0102062,3,8,8,1,,1984,,,1,1,2,,5,20151118
010206218001,0102062180,0102062,5,9,9,2,,2007,,,6,1,,,,20151118
010206218001,0102062180,0102062,6,9,9,2,,2011,,,6,1,,,,20151118
010206222001,0102062220,0102062,3,8,8,2,,1975,,,1,1,2,,2,20151118
010206222001,0102062220,0102062,4,9,9,1,,1995,,,6,1,1,13,,20151118
010206222001,0102062220,0102062,5,9,9,2,,1999,,,6,1,1,8,,20151118
010206223002,0102062230,0102062,4,8,8,2,,1978,,,1,1,2,,2,20151118
010206223002,0102062230,0102062,5,9,9,2,,2004,,,6,1,1,3,,20151118
010206223002,0102062230,0102062,6,9,9,2,,2008,,,6,1,,,,20151118
010206224001,0102062240,0102062,3,8,8,1,,1977,,,1,1,2,,2,20151118
010206224001,0102062240,0102062,4,9,9,1,,2004,,,6,1,1,2,,20151118
010206224001,0102062240,0102062,6,9,9,1,,2000,,,6,1,1,7,,20151118
010206225001,0102062250,0102062,3,8,8,2,,1971,,,1,1,2,,2,20151118
010206225001,0102062250,0102062,4,9,9,1,,1993,,,6,1,2,,5,20151118
010206225001,0102062250,0102062,5,9,9,1,,1997,,,6,1,2,,5,20151118
010206226001,0102062260,0102062,4,8,8,2,,1987,,,1,1,2,,5,20151118
010206226001,0102062260,0102062,5,9,9,2,,2010,,,6,1,,,,20151118
010206227001,0102062270,0102062,4,8,8,2,,1984,,,1,1,2,,5,20151118
010206227001,0102062270,0102062,5,9,9,2,,2008,,,6,1,,,,20151118
010206228002,0102062280,0102062,6,,8,,2,,,,1,1,,,,20151118
010206228002,0102062280,0102062,7,,9,,1,,2012,11,6,1,,,,20151118
010206301001,0102063010,0102063,1,10,,1,,1957,,,,,,,,20151118
010206301001,0102063010,0102063,5,,9,,1,,2011,12,6,1,,,,20151118
010206302002,0102063020,0102063,3,8,8,2,,1970,,,1,1,2,,4,20151118
010206305002,0102063050,0102063,4,8,8,2,,1983,,,1,1,2,,4,20151118
010206305002,0102063050,0102063,5,9,9,1,,2005,,,6,1,1,1,,20151118
010206305002,0102063050,0102063,6,9,9,1,,2009,,,6,1,,,,20151118
010206306001,0102063060,0102063,4,8,8,2,,1984,,,1,1,2,,4,20151118
010206306001,0102063060,0102063,5,9,9,2,,2011,,,6,1,,,,20151118
010206307001,0102063070,0102063,3,8,8,2,,1980,,,1,1,2,,1,20151118
010206307001,0102063070,0102063,4,9,9,2,,2001,,,6,1,1,6,,20151118
010206307001,0102063070,0102063,5,9,8,2,,2006,,,6,1,2,,,20151118
010206308002,0102063080,0102063,3,8,8,2,,1979,,,1,1,2,,2,20151118
010206308002,0102063080,0102063,4,9,9,2,,2001,,,6,1,1,5,,20151118
010206308002,0102063080,0102063,5,9,9,2,,2006,,,6,1,1,1,,20151118
010206309001,0102063090,0102063,4,9,9,1,,1993,,,6,1,1,7,,20151118
010206312001,0102063120,0102063,3,8,8,2,,1978,,,1,1,2,,4,20151118
010206312001,0102063120,0102063,4,9,9,2,,2002,,,6,1,1,5,,20151118
010206312001,0102063120,0102063,5,9,9,1,,2007,,,6,1,,,,20151118
010206313001,0102063130,0102063,5,8,8,2,,1986,,,1,1,2,,4,20151118
010206313001,0102063130,0102063,6,9,9,2,,2006,,,6,1,1,1,,20151118
010206313001,0102063130,0102063,7,,9,,2,,2012,3,6,1,,,,20151118
010206314001,0102063140,0102063,2,8,8,2,,1965,,,1,1,2,,2,20151118
010206314001,0102063140,0102063,4,9,9,1,,1989,,,6,1,2,,5,20151118
010206315002,0102063150,0102063,3,9,9,1,,1998,,,6,1,1,8,,20151118
010206315002,0102063150,0102063,4,9,9,1,,2002,,,6,1,1,4,,20151118
010206315002,0102063150,0102063,5,8,8,2,,1978,,,2,1,2,,1,20151118
010206317001,0102063170,0102063,2,8,8,2,,1938,,,2,1,2,,2,20151118
010206317001,0102063170,0102063,4,,9,,1,,1993,12,6,1,2,,4,20151118
010206317001,0102063170,0102063,5,,9,,1,,1992,11,6,1,2,,5,20151118
010206318002,0102063180,0102063,4,8,8,2,,1988,,,1,1,2,,6,20151118
010206318002,0102063180,0102063,5,9,9,1,,2008,,,6,1,,,,20151118
010206319001,0102063190,0102063,4,9,9,2,,2003,,,6,1,1,4,,20151118
010206319001,0102063190,0102063,5,9,9,1,,2008,,,6,1,,,,20151118
010206319001,0102063190,0102063,6,,8,,1,,1978,12,1,1,2,,5,20151118
010206320001,0102063200,0102063,2,8,8,1,,1972,,,1,1,2,,4,20151118
010206320001,0102063200,0102063,4,9,9,1,,1999,,,6,1,2,,4,20151118
010206320001,0102063200,0102063,5,9,9,2,,1995,,,6,1,2,,5,20151118
010206322002,0102063220,0102063,4,8,8,2,,1982,,,1,1,2,,4,20151118
010206322002,0102063220,0102063,7,,9,,1,,2012,8,6,1,,,,20151118
010206324001,0102063240,0102063,2,8,8,2,,1978,,,1,1,2,,4,20151118
010206324001,0102063240,0102063,5,,9,,2,,2012,10,6,1,,,,20151118
010206325001,0102063250,0102063,2,8,8,2,,1984,,,1,1,2,,5,20151118
010206325001,0102063250,0102063,5,9,9,1,,2006,,,6,1,1,1,,20151118
010206325001,0102063250,0102063,6,9,9,2,,2011,,,6,1,,,,20151118
010206326001,0102063260,0102063,4,8,8,2,,1974,,,1,1,2,,1,20151118
010206326001,0102063260,0102063,5,9,9,1,,2003,,,6,1,1,3,,20151118
010206326001,0102063260,0102063,6,9,9,1,,1996,,,6,1,1,15,,20151118
010206328002,0102063280,0102063,4,8,8,2,,1989,,,1,1,2,,4,20151118
010206328002,0102063280,0102063,6,,9,,2,,2010,5,6,1,,,,20151118
010206328002,0102063280,0102063,7,,9,,1,,2013,6,6,1,,,,20151118
010206329001,0102063290,0102063,4,8,8,2,,1988,,,1,1,2,,4,20151118
010206329001,0102063290,0102063,5,9,9,1,,2009,,,6,1,,,,20151118
010206329001,0102063290,0102063,6,,9,,2,,2013,2,6,1,,,,20151118
010233101001,0102331010,0102331,3,8,8,1,,1976,,,1,1,2,,5,20151118
010233101001,0102331010,0102331,5,9,9,2,,2001,,,6,1,1,6,,20151118
010233101001,0102331010,0102331,6,9,9,1,,2008,,,6,1,,,,20151118
010233104002,0102331040,0102331,4,9,9,1,,1997,,,6,2,1,,,20151118
010233108002,0102331080,0102331,4,8,8,2,,1990,,,1,1,2,,2,20151118
010233110001,0102331100,0102331,4,8,8,2,,1986,,,1,1,2,,2,20151118
010233110001,0102331100,0102331,5,9,9,2,,2008,,,6,1,,,,20151118
010233110001,0102331100,0102331,6,,9,,1,,2012,7,6,1,,,,20151118
010233112001,0102331120,0102331,5,,8,,1,,1987,,1,1,2,,5,20151118
010233112001,0102331120,0102331,6,,9,,1,,2011,3,6,1,,,,20151118
010233113002,0102331130,0102331,5,,8,,2,,,,1,1,,,,20151118
010233113002,0102331130,0102331,6,,9,,2,,2013,6,6,1,,,,20151118
010233114001,0102331140,0102331,3,8,8,1,,1979,,,1,1,2,,4,20151118
010233114001,0102331140,0102331,4,9,9,2,,2009,,,6,1,,,,20151118
010233114001,0102331140,0102331,5,9,9,2,,2003,,,6,1,1,3,,20151118
010233119002,0102331190,0102331,4,6,8,2,,1985,,,1,1,2,,5,20151118
010233119002,0102331190,0102331,6,9,9,1,,2010,,,6,1,,,,20151118
010233120001,0102331200,0102331,3,8,8,2,,1979,,,1,1,2,,5,20151118
010233120001,0102331200,0102331,4,9,9,2,,2006,,,6,1,1,5,,20151118
010233120001,0102331200,0102331,5,9,9,2,,2001,,,6,1,1,1,,20151118
010233122001,0102331220,0102331,2,8,8,2,,1973,,,1,1,2,,4,20151118
010233122001,0102331220,0102331,4,9,9,1,,1997,,,6,1,1,14,,20151118
010233122001,0102331220,0102331,5,9,9,2,,2005,,,6,1,1,2,,20151118
010233202001,0102332020,0102332,2,8,8,2,,1957,,,1,1,2,,4,20151118
010233202001,0102332020,0102332,4,9,9,2,,1981,,,1,1,2,,7,20151118
010233202001,0102332020,0102332,5,10,12,2,,2007,,,6,2,,,,20151118
010233202001,0102332020,0102332,6,,12,,1,,2012,4,6,2,,,,20151118
010233205001,0102332050,0102332,2,8,8,2,,1986,,,1,1,2,,4,20151118
010233205001,0102332050,0102332,4,9,9,2,,2009,,,6,1,,,,20151118
010233205001,0102332050,0102332,5,9,9,2,,2009,,,6,1,,,,20151118
010233206001,0102332060,0102332,3,9,12,2,,1977,,,1,1,2,,4,20151118
010233206001,0102332060,0102332,4,10,12,2,,2001,,,6,1,1,5,,20151118
010233206001,0102332060,0102332,5,10,12,1,,2006,,,6,1,1,1,,20151118
010233206001,0102332060,0102332,6,8,8,1,,1954,,,1,1,2,,4,20151118
010233206001,0102332060,0102332,7,9,9,1,,1977,,,1,1,2,,5,20151118
010233207001,0102332070,0102332,2,,8,,2,,1987,8,1,1,2,,6,20151118
010233207001,0102332070,0102332,3,,9,,2,,2011,11,6,1,,,,20151118
010233210002,0102332100,0102332,4,8,8,1,,1978,,,1,1,2,,4,20151118
010233210002,0102332100,0102332,5,9,9,2,,2009,,,6,1,,,,20151118
010233213001,0102332130,0102332,3,8,8,2,,1968,,,1,1,2,,,20151118
010233213001,0102332130,0102332,4,9,9,1,,1995,,,6,1,2,,4,20151118
010233214001,0102332140,0102332,2,8,8,2,,1964,,,1,1,2,,4,20151118
010233214001,0102332140,0102332,4,9,9,2,,1989,,,6,1,2,,8,20151118
010233214001,0102332140,0102332,5,9,9,1,,1987,,,6,1,2,,9,20151118
010233215001,0102332150,0102332,4,,8,,2,,1966,3,1,1,2,,2,20151118
010233301002,0102333010,0102333,3,9,9,2,,2007,,,6,1,,,,20151118
010233301002,0102333010,0102333,4,8,9,1,,2003,,,6,1,1,3,,20151118
010233301002,0102333010,0102333,6,8,8,2,,1981,,,1,1,2,,5,20151118
