communityID,province,city,urban_nbs,areatype,versionID
0586591,ËÄ´¨Ê¡,Ã¼É½ÊÐ,0,220,20151118
0586592,ËÄ´¨Ê¡,Ã¼É½ÊÐ,1,121,20151118
0586593,ËÄ´¨Ê¡,Ã¼É½ÊÐ,0,220,20151118
0604401,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0604402,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0604403,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0604811,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0604812,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0604813,ºÓ±±Ê¡,±£¶¨ÊÐ,0,220,20151118
0640281,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,1,111,20151118
0640282,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,1,111,20151118
0640283,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,1,111,20151118
0640331,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,0,220,20151118
0640332,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,0,220,20151118
0640333,ºÓ±±Ê¡,Ê¯¼Ò×¯ÊÐ,0,220,20151118
0646041,ºÓ±±Ê¡,²×ÖÝÊÐ,1,111,20151118
0646042,ºÓ±±Ê¡,²×ÖÝÊÐ,1,111,20151118
0646043,ºÓ±±Ê¡,²×ÖÝÊÐ,1,111,20151118
0655461,ºÓ±±Ê¡,³ÐµÂÊÐ,0,220,20151118
0655462,ºÓ±±Ê¡,³ÐµÂÊÐ,0,220,20151118
0655463,ºÓ±±Ê¡,³ÐµÂÊÐ,0,220,20151118
0724281,½­Î÷Ê¡,¾°µÂÕòÊÐ,1,111,20151118
0724282,½­Î÷Ê¡,¾°µÂÕòÊÐ,1,111,20151118
0724283,½­Î÷Ê¡,¾°µÂÕòÊÐ,1,111,20151118
0740021,½­Î÷Ê¡,ÄÏ²ýÊÐ,0,220,20151118
0740022,½­Î÷Ê¡,ÄÏ²ýÊÐ,0,220,20151118
0740023,½­Î÷Ê¡,ÄÏ²ýÊÐ,0,220,20151118
0740041,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0740042,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0740043,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0740571,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0740572,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0740573,½­Î÷Ê¡,ÄÏ²ýÊÐ,1,111,20151118
0746311,½­Î÷Ê¡,ÒË´ºÊÐ,0,220,20151118
0746312,½­Î÷Ê¡,ÒË´ºÊÐ,0,220,20151118
0746313,½­Î÷Ê¡,ÒË´ºÊÐ,0,220,20151118
0749811,½­Î÷Ê¡,ÉÏÈÄÊÐ,1,122,20151118
0749812,½­Î÷Ê¡,ÉÏÈÄÊÐ,1,122,20151118
0749813,½­Î÷Ê¡,ÉÏÈÄÊÐ,0,220,20151118
0753761,½­Î÷Ê¡,¾Å½­ÊÐ,0,210,20151118
0753762,½­Î÷Ê¡,¾Å½­ÊÐ,1,121,20151118
0753763,½­Î÷Ê¡,¾Å½­ÊÐ,1,121,20151118
0755041,½­Î÷Ê¡,¼ª°²ÊÐ,1,111,20151118
0755042,½­Î÷Ê¡,¼ª°²ÊÐ,1,111,20151118
0755043,½­Î÷Ê¡,¼ª°²ÊÐ,1,111,20151118
0782331,½­Î÷Ê¡,¸ÓÖÝÊÐ,0,220,20151118
0782332,½­Î÷Ê¡,¸ÓÖÝÊÐ,0,220,20151118
0782333,½­Î÷Ê¡,¸ÓÖÝÊÐ,1,122,20151118
0896761,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,0,220,20151118
0896762,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,1,121,20151118
0896763,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,°¢¿ËËÕµØÇø,1,121,20151118
0940041,±±¾©,±±¾©,1,111,20151118
0940042,±±¾©,±±¾©,1,111,20151118
0940043,±±¾©,±±¾©,1,111,20151118
1017911,ÄÚÃÉ¹Å×ÔÖÎÇø,ÎýÁÖ¹ùÀÕÃË,0,220,20151118
1017912,ÄÚÃÉ¹Å×ÔÖÎÇø,ÎýÁÖ¹ùÀÕÃË,1,121,20151118
1017913,ÄÚÃÉ¹Å×ÔÖÎÇø,ÎýÁÖ¹ùÀÕÃË,0,220,20151118
1040041,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1,111,20151118
1040042,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1,111,20151118
1040043,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôºÍºÆÌØÊÐ,1,111,20151118
1051021,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1,121,20151118
1051022,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1,121,20151118
1051023,ÄÚÃÉ¹Å×ÔÖÎÇø,ÐË°²ÃË,1,121,20151118
1053811,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,1,121,20151118
1053812,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,0,220,20151118
1053813,ÄÚÃÉ¹Å×ÔÖÎÇø,³à·åÊÐ,1,121,20151118
1082061,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,0,220,20151118
1082062,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,0,220,20151118
1082063,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,0,220,20151118
