precision,recall,threshold
0.01668520578420467,1.0,0.038070389559231824
0.01669139465875371,1.0,0.04761895179648002
0.016697588126159554,1.0,0.04828286425267762
0.01670378619153675,1.0,0.05041409221769688
0.01670998886000743,1.0,0.05324416460302452
0.016716196136701337,1.0,0.05413235706511824
0.016722408026755852,1.0,0.05901157630624034
0.016728624535315983,1.0,0.05962801688999302
0.0167348456675344,1.0,0.06220297129177318
0.016741071428571428,1.0,0.06265566249304408
0.016747301823595087,1.0,0.06369725560955981
0.01675353685778109,1.0,0.06450601720748461
0.01675977653631285,1.0,0.06460288136814886
0.01676602086438152,1.0,0.06498742055333723
0.016772269847185987,1.0,0.06529507600891461
0.016778523489932886,1.0,0.06551416894392197
0.01678478179783663,1.0,0.06636670894390947
0.016791044776119403,1.0,0.06696756309873249
0.0167973124300112,1.0,0.0693849838834466
0.016803584764749812,1.0,0.07137960803109258
0.016809861785580874,1.0,0.07165994746038967
0.016816143497757848,1.0,0.07197090335510871
0.016822429906542057,1.0,0.07445760826188268
0.016828721017202692,1.0,0.07531960764293048
0.016835016835016835,1.0,0.07536379915637063
0.016841317365269462,1.0,0.0756106766358227
0.01684762261325346,1.0,0.07611153862371586
0.016853932584269662,1.0,0.07617476743233223
0.016860247283626825,1.0,0.0771769637057778
0.01686656671664168,1.0,0.07778516012666402
0.01687289088863892,1.0,0.07911914740983862
0.01687921980495124,1.0,0.07959428311787331
0.016885553470919325,1.0,0.08013173633557716
0.016891891891891893,1.0,0.08039424240232823
0.016898235073225687,1.0,0.08153280088329819
0.0169045830202855,1.0,0.0823242289281845
0.016910935738444193,1.0,0.08240802875473924
0.016917293233082706,1.0,0.08316129129578162
0.01692365550959007,1.0,0.08616398448644381
0.016930022573363433,1.0,0.08623285821766351
0.016936394429808054,1.0,0.08686445414692054
0.01694277108433735,1.0,0.08693981340050466
0.01694915254237288,1.0,0.0875364952145478
0.016955538809344386,1.0,0.08955879474820096
0.016961929890689786,1.0,0.09107401964914963
0.016968325791855202,1.0,0.09132334716198443
0.016974726518294982,1.0,0.09134751078736549
0.016981132075471698,1.0,0.0923425058808166
0.01698754246885617,1.0,0.09247679586877562
0.016993957703927493,1.0,0.09379932066894499
0.017000377786173027,1.0,0.09434244286460018
0.017006802721088437,1.0,0.09464683575790608
0.017013232514177693,1.0,0.09509204399594787
0.0170196671709531,1.0,0.09529111206395956
0.0170261066969353,1.0,0.09584733135053693
0.01703255109765329,1.0,0.09595776482123676
0.01703900037864445,1.0,0.09639807458214551
0.017051913603637742,1.0,0.09640568462748801
0.017090770983668818,1.0,0.09661114028551541
0.01709726443768997,1.0,0.09720918801057947
0.01710376282782212,1.0,0.09748005026696926
0.017110266159695818,1.0,0.09769120898516395
0.017116774438950173,1.0,0.0977003347021507
0.017123287671232876,1.0,0.09855343663767648
0.01712980586220023,1.0,0.09937834879984234
0.017136329017517136,1.0,0.09983381991364154
0.017142857142857144,1.0,0.10005995616570659
0.01717557251908397,1.0,0.10043410107227553
0.01718213058419244,1.0,0.1004958111359816
0.017188693659281894,1.0,0.10074870127270216
0.01719526175009553,1.0,0.10175055216320619
0.017201834862385322,1.0,0.10175853716959003
0.017208413001912046,1.0,0.1025505394362169
0.017214996174445295,1.0,0.10280074948358235
0.01722158438576349,1.0,0.10282323562189288
0.017228177641653904,1.0,0.10340745151867399
0.017234775947912676,1.0,0.10382421550077103
0.017241379310344827,1.0,0.10438457820171769
0.017247987734764277,1.0,0.10450851289081656
0.017254601226993866,1.0,0.1047106508772141
0.01726121979286536,1.0,0.10527548331435609
0.01727447216890595,1.0,0.1054835811799621
0.01728110599078341,1.0,0.1058033136315462
0.017287744909719554,1.0,0.10716442403367742
0.017294388931591083,1.0,0.10779619991967818
0.01730103806228374,1.0,0.1082048025449991
0.01730769230769231,1.0,0.10925564765252295
0.01732768579129765,1.0,0.109425197910956
0.017334360554699536,1.0,0.11106803351060728
0.017341040462427744,1.0,0.11176896974058453
0.017347725520431765,1.0,0.11193197603057446
0.017354415734670267,1.0,0.11222311311409343
0.017361111111111112,1.0,0.11223181728245525
0.01736781165573138,1.0,0.11291455881991722
0.017374517374517374,1.0,0.11303417142335292
0.01738122827346466,1.0,0.11319198502675604
0.01738794435857805,1.0,0.11333590554400966
0.017394665635871664,1.0,0.1134029329607868
0.01740139211136891,1.0,0.11372975623346335
0.017408123791102514,1.0,0.11379351822777853
0.01741486068111455,1.0,0.11425889215441123
0.017428350116189,1.0,0.11476834022230191
0.01743510267338241,1.0,0.11476862047725468
0.01744186046511628,1.0,0.11576187029727135
0.017448623497479644,1.0,0.11579340480403097
0.017455391776570985,1.0,0.11579448205551335
0.017462165308498253,1.0,0.11601794665494082
0.01746894409937888,1.0,0.11603471642817945
0.017475728155339806,1.0,0.11622137904867154
0.017482517482517484,1.0,0.11625189644065759
0.01748931208705791,1.0,0.11631016133591171
0.017509727626459144,1.0,0.11640904822384593
0.017523364485981307,1.0,0.11645023385450501
0.01753019088430074,1.0,0.1165639948580007
0.017537022603273576,1.0,0.11684725292046313
0.017543859649122806,1.0,0.11720893160469023
0.017550702028081122,1.0,0.11756638807368895
0.017557549746390948,1.0,0.11758654756331767
0.01756440281030445,1.0,0.1186872310783509
0.017571261226083563,1.0,0.11874057195123161
0.017578125,1.0,0.11877885201561011
0.017591868647380767,1.0,0.11916084311920778
0.01759874853343762,1.0,0.11968459335735634
0.017605633802816902,1.0,0.12016360404393414
0.01761252446183953,1.0,0.12017576014119591
0.017619420516836334,1.0,0.12041210631996316
0.01762632197414806,1.0,0.12061820132671554
0.01763322884012539,1.0,0.12067980404825637
0.01764014112112897,1.0,0.12090895237548915
0.01764705882352941,1.0,0.12113966383251205
0.017653981953707338,1.0,0.12122331424658091
0.017660910518053376,1.0,0.12154568257626483
0.0176678445229682,1.0,0.12172812821689376
0.01767478397486253,1.0,0.12255217876879385
0.01768172888015717,1.0,0.12261822121857903
0.01768867924528302,1.0,0.12285779523546835
0.017695635076681086,1.0,0.12325289763450029
0.01770259638080252,1.0,0.12329761468771422
0.01770956316410862,1.0,0.12428029700950144
0.017716535433070866,1.0,0.12447026347337621
0.017723513194170933,1.0,0.12482956353559929
0.01773049645390071,1.0,0.1256015345457364
0.017737485218762318,1.0,0.12570724307756845
0.01774447949526814,1.0,0.12575899429303541
0.01775147928994083,1.0,0.1258722092509524
0.017758484609313337,1.0,0.12609348979855617
0.017765495459928938,1.0,0.1266973105391992
0.017772511848341232,1.0,0.12717116503644968
0.017779533781114184,1.0,0.12737456778396
0.017850059500198336,1.0,0.12767458944909654
0.017857142857142856,1.0,0.12792390134143972
0.017864231838030965,1.0,0.12825059203903344
0.017871326449563147,1.0,0.1283548993825084
0.017878426698450536,1.0,0.12844170083465478
0.017885532591414944,1.0,0.12863618463548493
0.017892644135188866,1.0,0.12956288286951795
0.017906884202148827,1.0,0.1295632637919485
0.017914012738853503,1.0,0.12960282364498665
0.017921146953405017,1.0,0.1298273033383687
0.017928286852589643,1.0,0.1300129812711518
0.017935432443204464,1.0,0.13013081241755622
0.017942583732057416,1.0,0.1303120175679889
0.017949740725967292,1.0,0.1303487362483255
0.017956903431763767,1.0,0.13095320815117784
0.017964071856287425,1.0,0.1310301322997199
0.017971246006389777,1.0,0.1310980033004005
0.01797842588893328,1.0,0.1311552010008897
0.017985611510791366,1.0,0.13126272825848279
0.01799280287884846,1.0,0.13130479880344323
0.018,1.0,0.13142731347480854
0.01802162595114137,1.0,0.13148491676889854
0.018028846153846152,1.0,0.13159411548543204
0.018036072144288578,1.0,0.13182985456553495
0.018043303929430633,1.0,0.1319774626095734
0.018050541516245487,1.0,0.13203119461210114
0.017670682730923693,0.9777777777777777,0.1325725712330019
0.017677782241864202,0.9777777777777777,0.1327836956932004
0.017684887459807074,0.9777777777777777,0.1330397410510995
0.01769199839163651,0.9777777777777777,0.1337426733793008
0.017699115044247787,0.9777777777777777,0.13416815102571897
0.017706237424547282,0.9777777777777777,0.1342265663414445
0.017713365539452495,0.9777777777777777,0.13498019437097117
0.017720499395892066,0.9777777777777777,0.13504103388634411
0.017727639000805803,0.9777777777777777,0.1351373088479952
0.0177347843611447,0.9777777777777777,0.1351498860133482
0.017741935483870968,0.9777777777777777,0.13521993424746742
0.017749092375958047,0.9777777777777777,0.1354240152222688
0.01775625504439064,0.9777777777777777,0.13545830309614337
0.017763423496164714,0.9777777777777777,0.13546662337309023
0.017770597738287562,0.9777777777777777,0.1355350003033704
0.017777777777777778,0.9777777777777777,0.13599870276541784
0.01778496362166532,0.9777777777777777,0.1360405771494765
0.017792155276991507,0.9777777777777777,0.13606909791548394
0.01779935275080906,0.9777777777777777,0.13620897590340147
0.017806556050182113,0.9777777777777777,0.13631140285888457
0.017813765182186234,0.9777777777777777,0.13635572924844508
0.017820980153908466,0.9777777777777777,0.13649426916722887
0.017828200972447326,0.9777777777777777,0.13675501239275395
0.017842660178426603,0.9777777777777777,0.13689160593259264
0.017849898580121704,0.9777777777777777,0.1369891269603207
0.017864393016646368,0.9777777777777777,0.13699366103001998
0.017871649065800164,0.9777777777777777,0.13724909712791403
0.017878911011783828,0.9777777777777777,0.13757765038035547
0.017893452623017485,0.9777777777777777,0.13760474247319038
0.01790073230268511,0.9777777777777777,0.1377870971762138
0.01790801790801791,0.9777777777777777,0.13875029025417068
0.017915309446254073,0.9777777777777777,0.13880228227228966
0.017922606924643585,0.9777777777777777,0.13880561886445036
0.017929910350448247,0.9777777777777777,0.13907714211195416
0.017937219730941704,0.9777777777777777,0.13934201794452714
0.01794453507340946,0.9777777777777777,0.1397363650226564
0.01795185638514892,0.9777777777777777,0.14014778655574045
0.017959183673469388,0.9777777777777777,0.1402656896307592
0.01796651694569212,0.9777777777777777,0.1407059086131136
0.017973856209150325,0.9777777777777777,0.14075013896734176
0.018018018018018018,0.9777777777777777,0.14081106829673798
0.018025399426464563,0.9777777777777777,0.1412912382777641
0.018032786885245903,0.9777777777777777,0.14155963755169365
0.018040180401804017,0.9777777777777777,0.14167524104106938
0.01804757998359311,0.9777777777777777,0.14189262218671123
0.018054985638079606,0.9777777777777777,0.14195567823869237
0.0180623973727422,0.9777777777777777,0.14196034965136548
0.018069815195071868,0.9777777777777777,0.14213435907210037
0.018077239112571898,0.9777777777777777,0.14233160888311372
0.018084669132757913,0.9777777777777777,0.14258444674341036
0.018174308137133416,0.9777777777777777,0.1427549620092485
0.01818181818181818,0.9777777777777777,0.14277659402127746
0.018189334435717238,0.9777777777777777,0.1428813723489595
0.018196856906534328,0.9777777777777777,0.14295038163610108
0.018211920529801324,0.9777777777777777,0.14341458833830723
0.018219461697722567,0.9777777777777777,0.14353772256294225
0.018227009113504555,0.9777777777777777,0.1438030676672548
0.01824212271973466,0.9777777777777777,0.1438138244341342
0.018249688925756947,0.9777777777777777,0.14383210772440339
