feature,abs_correlation_to_target
fi_2011,0.09443607643420744
chronic_disease_1_2011,0.09169095734317807
fi_broad_exploratory_2011,0.09021302947851217
functional_difficulty_1_2011,0.08423726300351399
health_compared_peer_2011,0.08171293049050539
functional_difficulty_5_2011,0.06959213852999824
self_rated_health_2011,0.06389574496427411
functional_difficulty_6_2011,0.05725377441538605
age_2011,0.05313448710605394
waist_cm_2011,0.052765733950650144
chronic_disease_2_2011,0.045851391935206424
bmi_to_fi_2011,0.04190987025221511
chronic_disease_3_2011,0.04190528096186999
chronic_disease_5_2011,0.04096247945205387
bmi_2011,0.04045594472378511
functional_difficulty_4_2011,0.03991410472636572
functional_difficulty_8_2011,0.0398565074366946
functional_difficulty_19_2011,0.03945840252226968
functional_difficulty_17_2011,0.03829986858504938
functional_difficulty_16_2011,0.03751613477165889
alcohol_frequency_code_2011,0.0373590252811175
sex_code_2011,0.03668010253843404
depressed_frequency_2011,0.036505436135399416
chronic_disease_14_2011,0.036346657829177544
functional_difficulty_2_2011,0.034299225634208425
current_smoking_2011,0.031004281489431854
chronic_disease_13_2011,0.029805509220654273
systolic_bp_mean_2011,0.0289297103110848
functional_difficulty_14_2011,0.025575150783331165
functional_difficulty_7_2011,0.024702037794109205
chronic_disease_10_2011,0.02459311193834749
functional_difficulty_13_2011,0.02369222095892729
functional_difficulty_3_2011,0.022942828531720257
functional_difficulty_18_2011,0.022820056367789346
newcho_2011,0.022523119975958645
chronic_disease_6_2011,0.022363142833832072
weight_kg_2011,0.022294937667987715
marital_code_2011,0.021559323351787833
chronic_disease_9_2011,0.020621907227586885
sad_or_depressed_2011,0.020500090898360766
newldl_2011,0.01837637288986664
height_cm_2011,0.015761062049905555
functional_difficulty_9_2011,0.014690127971914834
functional_difficulty_12_2011,0.01323520954537101
chronic_disease_4_2011,0.011505509499675062
qc1_vb004_2011,0.011385289861947973
functional_difficulty_15_2011,0.010883874323878039
functional_difficulty_20_2011,0.010709832232227089
functional_difficulty_10_2011,0.010168826773990666
education_code_2011,0.009115812577371988
functional_difficulty_11_2011,0.008848875896976416
chronic_disease_8_2011,0.008646783770558365
chronic_disease_11_2011,0.0076427132319308
newglu_2011,0.007052859984426281
newhba1c_2011,0.0068913268385613746
newcrp_2011,0.00678872772028548
chronic_disease_12_2011,0.0038560340812774352
newhdl_2011,0.001670087335987247
