fpr,tpr,threshold
0.0,0.0,inf
0.0,0.002631578947368421,0.6899607877635773
0.00039231071008238524,0.002631578947368421,0.6784479070949844
0.00039231071008238524,0.005263157894736842,0.6748685638625544
0.0023538642604943117,0.005263157894736842,0.6632635501861788
0.0023538642604943117,0.013157894736842105,0.6604835692851108
0.003138485680659082,0.013157894736842105,0.6588070548809041
0.003138485680659082,0.015789473684210527,0.6548577840071473
0.003923107100823852,0.015789473684210527,0.6515386653579935
0.003923107100823852,0.02631578947368421,0.6506322908301281
0.005492349941153394,0.02631578947368421,0.6484335664395781
0.005492349941153394,0.02894736842105263,0.6479709553285791
0.00745390349156532,0.02894736842105263,0.6459108140831525
0.00745390349156532,0.031578947368421054,0.6456486251877359
0.008630835621812475,0.031578947368421054,0.6445457246805201
0.008630835621812475,0.03684210526315789,0.6435212098700867
0.010592389172224402,0.03684210526315789,0.6396401876065517
0.010592389172224402,0.04736842105263158,0.6387615912437583
0.012553942722636328,0.04736842105263158,0.6359536579722432
0.012553942722636328,0.05,0.6346656796156923
0.016869360533542564,0.05,0.6266334623782499
0.016869360533542564,0.05263157894736842,0.6260188999845883
0.01726167124362495,0.05263157894736842,0.6258443435003498
0.01726167124362495,0.05789473684210526,0.625322993892116
0.018438603373872108,0.05789473684210526,0.6245799933898981
0.018438603373872108,0.060526315789473685,0.6245387431447973
0.019615535504119264,0.060526315789473685,0.6234649525135415
0.019615535504119264,0.06315789473684211,0.622351808969773
0.023538642604943115,0.06315789473684211,0.6150671697219574
0.023538642604943115,0.06578947368421052,0.614527669600996
0.024323264025107885,0.06578947368421052,0.6143259852371333
0.024323264025107885,0.07105263157894737,0.6125452876076701
0.02471557473519027,0.07105263157894737,0.6118408100734407
0.02471557473519027,0.07368421052631578,0.6116849295874814
0.02550019615535504,0.07368421052631578,0.6110852097643044
0.02550019615535504,0.07631578947368421,0.6102054946399122
0.026677128285602196,0.07631578947368421,0.6095878935991182
0.026677128285602196,0.07894736842105263,0.6093822955960813
0.02706943899568458,0.07894736842105263,0.6089624145882858
0.02706943899568458,0.08157894736842106,0.6082555435079356
