feature,abs_correlation_to_target
fi_2011,0.07713185763798516
fi_broad_exploratory_2011,0.07276849219830883
chronic_disease_1_2011,0.06431192327245994
functional_difficulty_1_2011,0.05976567426158576
chronic_disease_5_2011,0.05599601998691338
self_rated_health_2011,0.054152899715496104
health_compared_peer_2011,0.04974176357775224
age_2011,0.04460079957379456
functional_difficulty_6_2011,0.043454325965963735
functional_difficulty_5_2011,0.03899069196038849
functional_difficulty_19_2011,0.03748004102234017
functional_difficulty_17_2011,0.037145246326681564
bmi_to_fi_2011,0.036434103835112655
functional_difficulty_8_2011,0.0362705911655839
functional_difficulty_16_2011,0.03600474301013121
chronic_disease_14_2011,0.03558864999189603
marital_code_2011,0.03527608156552609
functional_difficulty_11_2011,0.03345673058042051
functional_difficulty_14_2011,0.0323107169840788
systolic_bp_mean_2011,0.03191686863695933
functional_difficulty_4_2011,0.031237600354018766
chronic_disease_3_2011,0.03089887875241249
functional_difficulty_10_2011,0.02858643359565761
functional_difficulty_2_2011,0.028460548009836
alcohol_frequency_code_2011,0.02828275936948129
functional_difficulty_18_2011,0.026737714509481116
waist_cm_2011,0.025805019457609508
functional_difficulty_20_2011,0.02494576943669399
chronic_disease_10_2011,0.02473261638934044
functional_difficulty_13_2011,0.024606196191292153
sad_or_depressed_2011,0.02421299091960602
functional_difficulty_7_2011,0.023672935250729693
functional_difficulty_9_2011,0.022721175357033368
chronic_disease_9_2011,0.02237950411660732
sex_code_2011,0.02062999335181841
functional_difficulty_15_2011,0.01845269641072413
chronic_disease_2_2011,0.018265148307848835
education_code_2011,0.01674775384535828
functional_difficulty_3_2011,0.016179111263128366
depressed_frequency_2011,0.016061106492060936
newcrp_2011,0.015022893428165098
bmi_2011,0.013986399148707097
chronic_disease_13_2011,0.013951512890726669
qc1_vb004_2011,0.012952712156474304
height_cm_2011,0.01252123579035471
functional_difficulty_12_2011,0.012349645438662646
chronic_disease_11_2011,0.009869375368003017
newglu_2011,0.009716064507321279
chronic_disease_4_2011,0.007267502007601671
current_smoking_2011,0.005900752480775208
chronic_disease_8_2011,0.005575161979375716
newldl_2011,0.005528243804069518
chronic_disease_12_2011,0.005136032752288834
weight_kg_2011,0.005040815545046529
newhba1c_2011,0.0042911614128493345
newcho_2011,0.0027940639659785544
chronic_disease_6_2011,0.0008430675337547208
newhdl_2011,0.0002730958146897852
