ID,householdID,communityID,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_4,i012_3,i012_2,i012_5,i013,i014s1,i014s2,i015,i017,i018,i019,i020,i021,i022,i023,i024,i027_w3,i025,i026,versionID
194037222002,1940372220,1940372,0.0,2,1,,4,2,,2,2,2,4,3,1,1,1,2,,,2,,1,2,1,1,3,2,1,1,1,3,4,20170531
194037219002,1940372190,1940372,0.0,2,1,,3,2,,1,,2,2,3,1,1,2,1,,,2,,1,2,1,1,2,2,2,1,2,3,3,20170531
194037214002,1940372140,1940372,0.0,2,1,1995,,2,,4,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,2,2,1,1,1,3,3,20170531
194037202002,1940372020,1940372,0.0,2,1,,3,2,,5,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,2,2,3,3,20170531
194037206002,1940372060,1940372,0.0,2,1,1996,,2,,6,2,2,5,3,1,1,1,1,,,2,,1,2,1,1,7,5,1,1,2,3,3,20170531
194037204001,1940372040,1940372,0.0,2,1,1994,,2,,1,,2,1,1,1,1,1,0,,1,,1,1,1,1,1,7,2,2,1,2,1,3,20170531
194037224001,1940372240,1940372,0.0,2,1,,4,2,,1,,1,,1,1,1,1,1,,1,,1,1,2,1,1,2,2,1,1,2,3,3,20170531
194037220002,1940372200,1940372,0.0,2,1,2001,,2,,1,,2,3,2,1,1,2,1,,,2,,1,2,1,1,,2,2,1,2,2,3,20170531
194037211001,1940372110,1940372,0.0,2,1,,4,2,,2,2,1,,1,1,1,1,1,,,2,,1,3,1,1,3,2,2,2,2,4,2,20170531
194037227002,1940372270,1940372,0.0,2,1,1984,,2,,5,2,2,5,2,1,1,1,1,,1,,1,1,2,1,1,2,2,2,1,2,3,3,20170531
194037212001,1940372120,1940372,0.0,2,1,1985,,2,,3,2,1,,3,1,1,1,2,,,2,,1,2,1,1,2,2,2,1,2,1,3,20170531
194037333001,1940373330,1940373,0.0,2,1,1994,,1,1,,,2,2,,,,,,5,1,,2,1,3,2,1,3,5,2,2,2,4,2,20170531
194037342002,1940373420,1940373,0.0,1,1,2013,,2,,10,1,2,1,3,1,2,1,1,,,2,,1,2,1,1,2,5,2,1,1,6,6,20170531
194037301002,1940373010,1940373,0.0,2,1,2013,,2,,9,1,1,,2,1,1,1,2,,,2,,1,2,1,1,2,2,2,1,2,6,6,20170531
194037311002,1940373110,1940373,,2,1,1996,,2,,2,2,2,5,3,1,1,2,2,,,2,,2,2,2,1,2,4,2,2,2,4,3,20170531
194037310002,1940373100,1940373,0.0,2,1,2012,,2,,11,1,2,1,3,1,2,1,2,,,2,,1,2,1,1,2,2,2,1,2,6,6,20170531
194037329001,1940373290,1940373,0.0,2,1,1996,,2,,1,,2,1,2,1,1,1,2,,,2,,1,2,2,1,2,4,2,2,2,4,3,20170531
194037316001,1940373160,1940373,,2,1,2013,,2,,15,1,2,1,2,1,1,1,1,,,2,,1,2,1,1,,2,2,2,2,6,3,20170531
194037314002,1940373140,1940373,0.0,2,1,1996,,2,,4,2,2,5,3,1,1,1,2,,,2,,1,1,2,1,2,4,2,2,2,2,3,20170531
194037321002,1940373210,1940373,0.0,2,1,2013,,2,,5,1,1,,3,1,2,1,1,,,2,,1,2,1,1,2,2,1,1,2,3,3,20170531
194037306002,1940373060,1940373,98.0,2,1,1993,,2,,1,,2,2,3,1,1,1,2,,,2,,1,2,2,1,2,4,1,1,2,6,6,20170531
194037325001,1940373250,1940373,0.0,2,1,2013,,2,,5,1,1,,3,1,2,1,2,,,2,,1,2,1,1,2,2,2,1,2,1,3,20170531
194037345001,1940373450,1940373,0.0,2,1,1995,,2,,5,2,2,5,3,1,1,1,2,,,2,,1,2,2,1,2,4,2,2,2,4,3,20170531
194037308001,1940373080,1940373,0.0,2,1,2013,,2,,4,1,2,1,3,1,1,1,2,,,2,,1,2,1,1,2,2,2,2,2,6,6,20170531
194037307002,1940373070,1940373,0.0,2,1,1996,,2,,5,2,2,2,3,1,1,1,1,,,2,,1,2,1,2,,4,1,1,2,3,3,20170531
194037326001,1940373260,1940373,0.0,2,1,2012,,2,,11,1,2,2,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,2,2,,,20170531
194037348002,1940373480,1940373,,2,1,2001,,2,,15,1,2,1,2,1,1,1,2,,,2,,1,2,1,1,2,2,2,2,2,2,3,20170531
194037317001,1940373170,1940373,,2,1,,4,2,,5,2,2,4,2,1,1,1,1,,,2,,1,2,1,2,,5,2,2,2,3,3,20170531
194037328001,1940373280,1940373,0.0,2,1,2013,,2,,1,,2,3,2,1,1,1,1,,,2,,1,2,1,2,,2,2,2,2,3,3,20170531
194037347001,1940373470,1940373,0.0,2,1,,5,1,2,,,2,1,1,1,0,0,0,100,1,,2,1,2,2,1,2,4,2,2,2,4,3,20170531
194037344001,1940373440,1940373,280.0,2,1,1982,,1,2,,,2,1,1,1,0,0,0,100,1,,2,1,3,2,1,2,5,2,2,2,4,3,20170531
194037341001,1940373410,1940373,0.0,2,1,1994,,2,,2,2,1,,2,1,1,2,1,,,2,,1,2,2,1,2,2,2,1,2,2,3,20170531
194037324001,1940373240,1940373,0.0,2,1,1996,,2,,1,,2,2,3,1,1,1,2,,,2,,1,2,1,2,,4,2,2,2,3,3,20170531
194037302001,1940373020,1940373,,1,1,1980,,1,1,,,2,1,1,1,0,0,0,40,1,,2,1,3,2,2,,5,2,1,2,3,3,20170531
194037343001,1940373430,1940373,0.0,2,1,2010,,2,,2,2,2,5,3,1,2,1,1,,,2,,1,2,1,1,2,2,2,1,1,6,6,20170531
194037332002,1940373320,1940373,0.0,2,1,2013,,2,,15,1,1,,3,1,2,1,1,,,2,,1,2,1,1,2,2,2,2,2,1,3,20170531
194037335001,1940373350,1940373,0.0,2,1,2013,,2,,3,1,1,,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,1,1,1,3,20170531
194037327001,1940373270,1940373,0.0,2,1,2012,,2,,5,1,1,,2,1,1,1,2,,,2,,1,2,1,2,,2,2,2,2,3,3,20170531
194037346001,1940373460,1940373,0.0,2,1,2010,,2,,11,1,2,1,2,1,1,1,0,,,2,,1,2,1,1,2,2,2,2,2,2,3,20170531
194037330001,1940373300,1940373,0.0,2,1,2012,,2,,13,1,2,1,1,1,1,1,1,,,2,,1,2,1,1,2,2,2,2,2,3,3,20170531
194037336001,1940373360,1940373,0.0,2,1,2012,,2,,2,1,2,1,1,1,2,1,1,,,2,,1,2,1,1,2,2,2,2,1,2,3,20170531
194037338001,1940373380,1940373,0.0,2,1,2011,,2,,7,1,1,,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,2,2,3,3,20170531
194037334001,1940373340,1940373,155.0,1,1,,,1,1,,,2,2,4,1,0,0,0,25,1,,2,1,3,2,2,,4,2,1,2,5,3,20170531
194037318002,1940373180,1940373,,2,1,2012,,2,,1,,1,,3,1,1,1,1,,,2,,1,2,1,1,2,2,2,1,2,2,3,20170531
194037349001,1940373490,1940373,,2,1,,2,1,2,,,2,1,1,1,1,0,0,,1,,2,1,2,2,1,2,4,2,2,2,3,3,20170531
194037312001,1940373120,1940373,,2,1,2010,,1,2,,,1,,3,0,0,0,0,100,1,,2,1,3,1,2,,4,2,2,2,3,3,20170531
064028313002,0640283130,0640283,0.0,2,1,2008,,2,,2,1,1,,1,1,1,1,1,,,2,,1,2,1,1,2,2,2,1,2,6,6,20170531
064028316002,0640283160,0640283,0.0,2,1,2008,,2,,18,1,1,,3,1,2,1,1,,,2,,1,2,1,1,2,2,2,1,1,3,3,20170531
064028307001,0640283070,0640283,0.0,2,1,2012,,2,,32,1,1,,2,1,1,2,1,,,2,,1,2,1,1,7,2,1,1,2,6,6,20170531
064028317001,0640283170,0640283,0.0,2,1,2008,,2,,18,1,2,2,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,1,2,2,3,20170531
064028314001,0640283140,0640283,30.0,2,1,2009,,2,,5,1,1,,2,1,1,1,2,,,2,,1,2,1,1,2,2,1,1,2,1,3,20170531
064028310001,0640283100,0640283,0.0,2,1,2008,,2,,4,1,2,2,1,1,1,1,1,,,2,,1,1,1,1,2,2,2,2,2,4,3,20170531
064028304001,0640283040,0640283,0.0,2,1,2008,,2,,13,1,2,2,2,1,1,1,2,,,2,,1,2,1,1,3,2,2,1,2,3,3,20170531
064028312001,0640283120,0640283,0.0,2,1,1990,,2,,5,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,7,2,1,1,2,6,6,20170531
064028301001,0640283010,0640283,0.0,2,1,1990,,2,,1,,2,3,1,1,1,1,1,,,2,,1,2,1,1,,2,2,2,2,4,3,20170531
064028106001,0640281060,0640281,0.0,2,1,1973,,2,,3,2,2,5,2,1,1,0,1,,1,,1,1,2,1,1,3,2,1,2,2,2,3,20170531
064028109001,0640281090,0640281,0.0,2,1,1980,,2,,2,2,2,4,2,1,1,1,1,,,2,,1,2,1,1,2,2,2,1,2,5,3,20170531
064028105002,0640281050,0640281,0.0,2,1,1984,,2,,2,2,2,4,3,1,2,2,3,,,2,,1,2,1,1,7,4,1,1,2,2,3,20170531
064028101002,0640281010,0640281,0.0,2,1,1987,,2,,4,2,2,5,1,1,1,1,1,,,2,,1,2,1,1,,2,2,2,1,3,3,20170531
064028124002,0640281240,0640281,,2,1,,3,2,,4,2,2,5,2,1,1,1,1,,1,,1,1,2,1,1,2,2,2,2,2,4,3,20170531
064028108002,0640281080,0640281,0.0,2,1,1986,,2,,4,2,2,5,2,1,1,1,1,,1,,1,1,2,1,1,7,4,2,1,2,3,4,20170531
064028102001,0640281020,0640281,0.0,2,1,1986,,2,,1,,2,2,2,1,1,1,1,,,2,,1,2,1,1,3,2,2,1,2,5,3,20170531
064028111001,0640281110,0640281,0.0,2,1,1990,,2,,4,2,2,5,3,1,1,0,1,,,2,,1,2,1,1,3,2,2,1,2,2,2,20170531
064028110003,0640281100,0640281,0.0,2,1,1978,,2,,1,,2,1,3,1,1,0,2,,,2,,1,2,1,1,2,2,2,1,2,1,3,20170531
064028103001,0640281030,0640281,0.0,2,1,2003,,2,,5,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,1,2,3,3,20170531
064028115001,0640281150,0640281,0.0,2,1,1965,,2,,1,,2,1,3,1,0,1,0,10,,2,,1,3,1,1,2,2,1,1,2,3,3,20170531
064028114002,0640281140,0640281,0.0,2,1,1992,,2,,7,2,2,5,2,1,1,1,1,,1,,1,1,2,1,2,,2,2,2,2,3,3,20170531
064028122001,0640281220,0640281,0.0,2,1,1976,,2,,3,2,2,5,1,1,1,1,1,,1,,1,1,2,1,1,7,2,1,1,2,6,6,20170531
064028104002,0640281040,0640281,0.0,2,1,1987,,2,,2,2,2,1,2,1,1,0,1,,1,,1,1,2,1,1,3,2,2,1,2,4,3,20170531
064028113002,0640281130,0640281,0.0,2,1,1992,,2,,6,2,2,5,2,1,1,1,1,,1,,1,1,2,1,1,2,2,2,1,2,2,3,20170531
064028208002,0640282080,0640282,,2,1,2007,,2,,11,1,1,,2,1,1,2,1,,,2,,1,2,1,1,2,2,2,2,2,2,3,20170531
