fi_mean,event_rate,n
0.010477268306484412,0.08792063800816961,5141
0.09057184900475342,0.12830882352941175,2720
0.10341724800323526,0.13830755232029118,1099
0.16409665594211353,0.14683204827355012,2983
0.23844932485476525,0.19326424870466322,1930
0.3651148461247254,0.23819978046103182,911
