fpr,tpr,threshold
0.0,0.0,inf
0.0,0.007407407407407408,0.8390480280133492
0.001455604075691412,0.007407407407407408,0.7798002266941001
0.001455604075691412,0.014814814814814815,0.7792055806100068
0.00363901018922853,0.014814814814814815,0.7569271328328966
0.00363901018922853,0.022222222222222223,0.7535178581370141
0.004366812227074236,0.022222222222222223,0.7516886605635554
0.004366812227074236,0.02962962962962963,0.7508436803927198
0.005822416302765648,0.02962962962962963,0.7392508221052463
0.005822416302765648,0.037037037037037035,0.7388469289934629
0.006550218340611353,0.037037037037037035,0.7369040330820162
0.006914119359534207,0.044444444444444446,0.7346347422824389
0.007641921397379912,0.044444444444444446,0.7340220127200279
0.008005822416302766,0.05185185185185185,0.7316552221073601
0.009825327510917031,0.05185185185185185,0.7281149799804556
0.009825327510917031,0.05925925925925926,0.7270868720620511
0.010189228529839884,0.05925925925925926,0.7255642195751041
0.011644832605531296,0.05925925925925926,0.724166012858119
0.012736535662299854,0.05925925925925926,0.7192300005242052
0.013100436681222707,0.06666666666666667,0.7190774747509763
0.015283842794759825,0.06666666666666667,0.7134340390615195
0.015283842794759825,0.07407407407407407,0.7133054519196046
0.01601164483260553,0.07407407407407407,0.712734628570255
0.01601164483260553,0.08148148148148149,0.7107848015912572
0.016739446870451237,0.08148148148148149,0.7096014973535654
0.020378457059679767,0.08148148148148149,0.7033830091352627
0.021106259097525473,0.08148148148148149,0.7029511566916176
0.021106259097525473,0.08888888888888889,0.7029228386832098
0.021470160116448325,0.08888888888888889,0.7025954816961467
0.021470160116448325,0.0962962962962963,0.702562153356908
0.021834061135371178,0.0962962962962963,0.7021692679695478
0.022561863173216887,0.0962962962962963,0.7009711472661747
0.024017467248908297,0.0962962962962963,0.6997909080298813
0.024017467248908297,0.1037037037037037,0.699639838214943
0.02583697234352256,0.1037037037037037,0.6964033156756768
0.026564774381368266,0.1037037037037037,0.696401677848449
0.027656477438136828,0.1037037037037037,0.6957566399983719
0.027656477438136828,0.1111111111111111,0.6953445465756631
0.02802037845705968,0.1111111111111111,0.6952238330293355
0.028748180494905386,0.1111111111111111,0.6951006955462335
0.02911208151382824,0.1111111111111111,0.6942459252691485
0.030203784570596796,0.11851851851851852,0.6940304993890148
0.03056768558951965,0.11851851851851852,0.6936982568019308
