fi_mean,event_rate,n
0.010540443808160344,0.08543307086614173,5080
0.09056985349052657,0.1227810650887574,2704
0.10343717549325025,0.13271028037383178,1070
0.16412621889894619,0.14074074074074075,2970
0.23853491791939255,0.19027705175117615,1913
0.36520662315364305,0.22958057395143489,906
