model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4880657255530281,0.6531362038976252,0.22910844536624506,0.289490245437382,0.5808080808080808,0.19279128248113997,0.6239750097618117,0.3760249902381882,0.41919191919191917,1598,963,166,230,0.4034494420020291,0.5965505579979709
random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4315937444109164,0.6478944067776555,0.2135718769300437,0.2944479101684342,0.5959595959595959,0.19552609776304888,0.6208512299882858,0.37914877001171415,0.40404040404040403,1590,971,160,236,0.4081839702401082,0.5918160297598918
xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.44786107540130615,0.6603609306654993,0.23235174832060856,0.2957422324510932,0.648989898989899,0.19150521609538004,0.5763373682155408,0.4236626317844592,0.351010101010101,1476,1085,139,257,0.45383834967872844,0.5461616503212716
lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.41117045834524396,0.6497422487270202,0.2220887733383508,0.29503546099290784,0.5252525252525253,0.20512820512820512,0.6852791878172588,0.3147208121827411,0.47474747474747475,1755,806,188,208,0.342915116672303,0.657084883327697
catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5037717978022678,0.6559296597367663,0.2253988569698438,0.28879310344827586,0.5075757575757576,0.20180722891566266,0.6895743850058571,0.3104256149941429,0.49242424242424243,1766,795,195,201,0.336827866080487,0.663172133919513
