model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
logistic_regression,ok,通过基础诊断。,0.4880657255530281,0.6531362038976252,0.229108445366245,0.289490245437382,0.5808080808080808,0.1927912824811399,0.6239750097618117,0.3760249902381882,0.4191919191919191,1598.0,963.0,166.0,230.0,0.4034494420020291,0.5965505579979709
random_forest,ok,通过基础诊断。,0.4315937444109164,0.6478944067776555,0.2135718769300437,0.2944479101684342,0.5959595959595959,0.1955260977630488,0.6208512299882858,0.3791487700117141,0.404040404040404,1590.0,971.0,160.0,236.0,0.4081839702401082,0.5918160297598918
xgboost,failed,ImportError: cannot import name 'XGBClassifier' from 'xgboost' (unknown location),,,,,,,,,,,,,,,
lightgbm,ok,通过基础诊断。,0.4111704583452439,0.6497422487270202,0.2220887733383508,0.2950354609929078,0.5252525252525253,0.2051282051282051,0.6852791878172588,0.3147208121827411,0.4747474747474747,1755.0,806.0,188.0,208.0,0.342915116672303,0.657084883327697
catboost,ok,通过基础诊断。,0.5037717978022678,0.6559296597367663,0.2253988569698438,0.2887931034482758,0.5075757575757576,0.2018072289156626,0.6895743850058571,0.3104256149941429,0.4924242424242424,1766.0,795.0,195.0,201.0,0.336827866080487,0.663172133919513
