feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4983657987843158,0.6537879773920383,0.2316156347120863,0.2961513372472277,0.5732323232323232,0.1996481970096746,0.6446700507614214,0.3553299492385787,0.42676767676767674,1651,910,169,227,0.3845113290497125,0.6154886709502875
primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.41613834751632367,0.6482631863342523,0.22734337320800457,0.2911593435680254,0.6944444444444444,0.1841929002009377,0.5244045294806716,0.4755954705193284,0.3055555555555556,1343,1218,121,275,0.5049036185322963,0.49509638146770374
primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.5654745697975159,0.6513006874682,0.23176525818994181,0.2869955156950672,0.6464646464646465,0.1844380403458213,0.5579851620460757,0.44201483795392427,0.35353535353535354,1429,1132,140,256,0.4693946567467027,0.5306053432532973
primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.3628722023597186,0.6411454450794553,0.22224870107932473,0.2904040404040404,0.5808080808080808,0.1936026936026936,0.6259273721202655,0.3740726278797345,0.41919191919191917,1603,958,166,230,0.401758539059858,0.5982414609401421
primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.45959730070289356,0.652985339533563,0.22784669237361493,0.2897914379802415,0.6666666666666666,0.18513323983169705,0.5462709878953533,0.4537290121046466,0.3333333333333333,1399,1162,132,264,0.48224551910720326,0.5177544808927967
no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.49522302186617534,0.6406159407428443,0.23813073020035877,0.2853486884197057,0.5631313131313131,0.19108826049700087,0.631393986723936,0.368606013276064,0.43686868686868685,1617,944,173,223,0.39465674670273926,0.6053432532972607
no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5070102435879292,0.6455283999700243,0.23345871377304736,0.2992748846407383,0.5732323232323232,0.2024977698483497,0.6509176103084733,0.3490823896915268,0.42676767676767674,1667,894,169,227,0.379100439634765,0.620899560365235
no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5952720046043396,0.6446818832605635,0.2393377711411348,0.3005249343832021,0.5782828282828283,0.20301418439716312,0.6489652479500195,0.35103475204998047,0.4217171717171717,1662,899,167,229,0.3814677037538045,0.6185322962461954
no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.36085310844893653,0.6360816284674153,0.22496688179894814,0.28776978417266186,0.6060606060606061,0.18867924528301888,0.5970324092151503,0.40296759078484967,0.3939393939393939,1529,1032,156,240,0.43016570848833274,0.5698342915116672
no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.477750525442655,0.6483218558091655,0.24053057398417713,0.3000583771161704,0.648989898989899,0.19514047076689445,0.5860991800078095,0.4139008199921905,0.351010101010101,1501,1060,139,257,0.44538383496787287,0.5546161650321271
