feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
primary,logistic_regression,0.4983657987843158,0.5271168906565707,0.3111111111111111,0.4983657987843158,0.2462530419383211,0.4983657987843158,0.5546401387125146,{'C': 0.03967694542223149},0.6555056618508395
primary,random_forest,0.41613834751632367,0.4539646205214432,0.31059129304743344,0.41613834751632367,0.2648764095464604,0.41613834751632367,0.5722470316060526,"{'n_estimators': 223, 'max_depth': 8, 'min_samples_leaf': 10}",0.6666065181293608
primary,xgboost,0.5654745697975159,0.5654745697975159,0.3053691275167785,0.5301437973976135,0.253792315975057,0.5654745697975159,0.5578243710887734,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6635157707492731
primary,lightgbm,0.3628722023597186,0.3843747961267677,0.30962962962962964,0.31896172099535697,0.24798650306264514,0.3628722023597186,0.5518211615722668,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6597328221693705
primary,catboost,0.45959730070289356,0.4949718911448981,0.3051066580478345,0.45466888047194565,0.25034905872469326,0.45959730070289356,0.5534612723750774,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6616792682782531
no_body_size_demographic,logistic_regression,0.49522302186617534,0.49522302186617534,0.29610389610389615,0.4648556626746223,0.21962696074371202,0.49522302186617534,0.5141886877927488,{'C': 0.03967694542223149},0.641472317868257
no_body_size_demographic,random_forest,0.5070102435879292,0.5129674021228697,0.3088967971530249,0.5003840205474814,0.24461424080713412,0.5070102435879292,0.5515671661020913,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6528196845455729
no_body_size_demographic,xgboost,0.5952720046043396,0.6133875250816345,0.30151515151515157,0.5952720046043396,0.22917480150982694,0.5952720046043396,0.5303482043781451,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6491052658565349
no_body_size_demographic,lightgbm,0.36085310844893653,0.36085310844893653,0.29749103942652333,0.36085310844893653,0.2269917054181012,0.36085310844893653,0.5244827448446245,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6478145374084459
no_body_size_demographic,catboost,0.477750525442655,0.5279869125303011,0.30345911949685533,0.477750525442655,0.23464733236306845,0.477750525442655,0.533959258968573,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6505453796062932
literature_fi_minimal,logistic_regression,0.4614662647277457,0.4614662647277457,0.2755905511811024,0.4614662647277457,0.17759003545805574,0.4614662647277457,0.4531805866391581,{'C': 2.320763804809883},0.6214694780684629
literature_fi_minimal,random_forest,0.49508765243318914,0.49508765243318914,0.2839080459770115,0.49508765243318914,0.1953890722926257,0.49508765243318914,0.4792971182696372,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6213827064080871
literature_fi_minimal,xgboost,0.4709514081478119,0.4709514081478119,0.2857142857142857,0.4709514081478119,0.1912930555062533,0.4709514081478119,0.477007341220539,"{'n_estimators': 142, 'max_depth': 3, 'learning_rate': 0.025683147749458696, 'subsample': 0.917893642460109, 'colsample_bytree': 0.8967275702272512, 'reg_lambda': 4.708567619590285, 'scale_pos_weight': 5.071466654508563}",0.6216375981604407
literature_fi_minimal,lightgbm,0.37267720600528936,0.37267720600528936,0.28163992869875226,0.37267720600528936,0.18848875320956537,0.37267720600528936,0.47012868190831764,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6244769049337577
literature_fi_minimal,catboost,0.4950560208705352,0.4950560208705352,0.28148959474260676,0.4950560208705352,0.19096568969665428,0.4950560208705352,0.47245528443926105,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6247362338732897
broad_fi_minimal,logistic_regression,0.5217320686118078,0.5217320686118078,0.28201219512195125,0.5217320686118078,0.1817363403657819,0.5217320686118078,0.46374853548773315,{'C': 0.03967694542223149},0.6107408524921215
broad_fi_minimal,random_forest,0.529891014345074,0.529891014345074,0.2970159611380986,0.529891014345074,0.21592141642903062,0.529891014345074,0.5129373775671292,"{'n_estimators': 160, 'max_depth': 3, 'min_samples_leaf': 2}",0.6338107746737188
broad_fi_minimal,xgboost,0.6060959696769714,0.6201096773147583,0.29172320217096337,0.6060959696769714,0.20884459590043347,0.6060959696769714,0.4999126783489032,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 9.414326518596924}",0.6307160831272506
broad_fi_minimal,lightgbm,0.3676056489140467,0.37183510535458497,0.29318734793187345,0.3676056489140467,0.21764896130378375,0.3676056489140467,0.5095709668748143,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 3.886543362011005}",0.6297458181975949
broad_fi_minimal,catboost,0.5297482539495413,0.5303782817870913,0.29526462395543174,0.5297482539495413,0.21222474648870593,0.5297482539495413,0.5074430417070012,"{'iterations': 131, 'depth': 3, 'learning_rate': 0.022713369064581, 'l2_leaf_reg': 1.1235942874800418}",0.6368255968509775
