feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5191047322406621,0.6529587164104931,0.22991448760412228,0.28952916373858045,0.5202020202020202,0.2005842259006816,0.6794221007418977,0.3205778992581023,0.4797979797979798,1740,821,190,206,0.3473114643219479,0.6526885356780521
primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4638108336522501,0.6464478837575285,0.22470474281300806,0.28993288590604027,0.5454545454545454,0.19744058500914077,0.6571651698555252,0.3428348301444748,0.45454545454545453,1683,878,180,216,0.36996956374704093,0.6300304362529591
primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.43713146448135376,0.6430578727533043,0.22332459312843644,0.28880407124681934,0.5732323232323232,0.19302721088435373,0.6294416243654822,0.37055837563451777,0.42676767676767674,1612,949,169,227,0.3977003719986473,0.6022996280013527
primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5736135947566802,0.6401667987962404,0.21858129380039415,0.2937420178799489,0.5808080808080808,0.19658119658119658,0.632955876610699,0.36704412338930104,0.41919191919191917,1621,940,166,230,0.39567128846804195,0.604328711531958
primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.476307096330737,0.6502224509838723,0.22961962763970578,0.2882352941176471,0.6186868686868687,0.18788343558282208,0.5864896524795002,0.4135103475204998,0.3813131313131313,1502,1059,151,245,0.44098748731822796,0.559012512681772
no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5089608318067378,0.6389800977364429,0.2309315056481192,0.29095853161114893,0.5404040404040404,0.19906976744186047,0.6638032018742679,0.3361967981257321,0.4595959595959596,1700,861,182,214,0.3635441325667907,0.6364558674332093
no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.48049845618257797,0.6440813839290997,0.22724862920570688,0.29107981220657275,0.7045454545454546,0.1834319526627219,0.5150331901600937,0.4849668098399063,0.29545454545454547,1319,1242,117,279,0.5143726750084545,0.4856273249915455
no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5895159840583801,0.642830097144818,0.23340300777036443,0.29753086419753083,0.6085858585858586,0.1968954248366013,0.6161655603279969,0.38383443967200315,0.39141414141414144,1578,983,155,241,0.41393304024349004,0.58606695975651
no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.35044265243844036,0.6402289194167365,0.22736653862176764,0.2886157135221807,0.6818181818181818,0.18305084745762712,0.5294806716126513,0.47051932838734867,0.3181818181818182,1356,1205,126,270,0.49881636794048023,0.5011836320595198
no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4736769866184946,0.6427837531898446,0.2296479648234974,0.27617602427921095,0.6893939393939394,0.17267552182163187,0.4892620070285045,0.5107379929714955,0.3106060606060606,1253,1308,123,273,0.534663510314508,0.465336489685492
