feature,importance,rank
fi_broad_exploratory_2011,0.06388909,1
chronic_disease_1_2011,0.04359648,2
functional_difficulty_1_2011,0.04295099,3
fi_broad_age_interaction_2011,0.03893881,4
alcohol_frequency_code_2011_1.0,0.036626276,5
health_compared_peer_2011_2.0,0.030031195,6
fi_age_interaction_2011,0.029713195,7
fi_2011,0.028380344,8
functional_difficulty_5_2011,0.026466329,9
sex_code_2011_1.0,0.02598047,10
alcohol_frequency_code_2011_3.0,0.025958087,11
depressed_frequency_2011_3.0,0.025181819,12
waist_height_ratio_2011,0.024837306,13
bmi_2011,0.022610364,14
self_rated_health_2011_2.0,0.02233352,15
height_cm_2011,0.022216005,16
chronic_disease_10_2011,0.021166218,17
sex_code_2011_2.0,0.020855406,18
self_rated_health_2011_5.0,0.020190021,19
weight_kg_2011,0.02014037,20
newcho_2011,0.019723905,21
waist_cm_2011,0.01933762,22
age_2011,0.019145578,23
systolic_bp_mean_2011,0.018968929,24
newcrp_2011,0.018836405,25
newhba1c_2011,0.018579273,26
health_compared_peer_2011_4.0,0.018493526,27
alcohol_frequency_code_2011_2.0,0.017921194,28
functional_difficulty_12_2011,0.017830107,29
qc1_vb004_2011,0.017497268,30
sad_or_depressed_2011_3.0,0.01720724,31
pulse_pressure_2011,0.016824758,32
newhdl_2011,0.01655089,33
newldl_2011,0.01625151,34
depressed_frequency_2011_1.0,0.016062738,35
chronic_disease_11_2011,0.016047198,36
newglu_2011,0.014709015,37
marital_code_2011_1.0,0.014064146,38
functional_difficulty_4_2011,0.013985407,39
diastolic_bp_mean_2011,0.013364529,40
health_compared_peer_2011_5.0,0.012902618,41
fi_high_2011,0.012230316,42
bmi_overweight_2011,0.011684439,43
self_rated_health_2011_3.0,0.011081313,44
high_bp_measured_2011,0.010594484,45
sad_or_depressed_2011_1.0,0.008043282,46
central_obesity_2011,0.0,47
functional_difficulty_2_2011,0.0,48
chronic_disease_13_2011,0.0,49
health_compared_peer_2011_1.0,0.0,50
chronic_disease_14_2011,0.0,51
self_rated_health_2011_4.0,0.0,52
marital_code_2011_6.0,0.0,53
self_rated_health_2011_1.0,0.0,54
chronic_disease_12_2011,0.0,55
marital_code_2011_5.0,0.0,56
marital_code_2011_4.0,0.0,57
marital_code_2011_3.0,0.0,58
health_compared_peer_2011_3.0,0.0,59
alcohol_frequency_code_2011_0.0,0.0,60
chronic_disease_9_2011,0.0,61
functional_difficulty_3_2011,0.0,62
chronic_disease_8_2011,0.0,63
chronic_disease_6_2011,0.0,64
chronic_disease_5_2011,0.0,65
chronic_disease_4_2011,0.0,66
depressed_frequency_2011_2.0,0.0,67
chronic_disease_3_2011,0.0,68
depressed_frequency_2011_4.0,0.0,69
sad_or_depressed_2011_2.0,0.0,70
chronic_disease_2_2011,0.0,71
sad_or_depressed_2011_4.0,0.0,72
marital_code_2011_2.0,0.0,73
education_code_2011_8.0,0.0,74
education_code_2011_9.0,0.0,75
functional_difficulty_11_2011,0.0,76
bmi_obesity_2011,0.0,77
bmi_underweight_2011,0.0,78
functional_difficulty_20_2011,0.0,79
functional_difficulty_19_2011,0.0,80
functional_difficulty_18_2011,0.0,81
current_smoking_2011,0.0,82
fi_broad_high_2011,0.0,83
functional_difficulty_17_2011,0.0,84
functional_difficulty_16_2011,0.0,85
functional_difficulty_15_2011,0.0,86
functional_difficulty_14_2011,0.0,87
functional_difficulty_13_2011,0.0,88
functional_difficulty_10_2011,0.0,89
bmi_to_fi_2011,0.0,90
functional_difficulty_9_2011,0.0,91
functional_difficulty_8_2011,0.0,92
sex_code_2011_0.0,0.0,93
functional_difficulty_7_2011,0.0,94
functional_difficulty_6_2011,0.0,95
education_code_2011_1.0,0.0,96
education_code_2011_2.0,0.0,97
education_code_2011_3.0,0.0,98
education_code_2011_4.0,0.0,99
education_code_2011_5.0,0.0,100
education_code_2011_6.0,0.0,101
education_code_2011_7.0,0.0,102
sad_or_depressed_2011_5.0,0.0,103
