feature,importance,rank
age_2011,67,1
fi_broad_age_interaction_2011,47,2
chronic_disease_2_2011,24,3
chronic_disease_1_2011,21,4
waist_cm_2011,21,5
functional_difficulty_1_2011,18,6
newcrp_2011,18,7
chronic_disease_5_2011,18,8
central_obesity_2011,17,9
weight_kg_2011,16,10
sex_code_2011_2.0,14,11
height_cm_2011,12,12
systolic_bp_mean_2011,12,13
fi_2011,12,14
bmi_2011,11,15
newglu_2011,10,16
newcho_2011,9,17
alcohol_frequency_code_2011_3.0,8,18
waist_height_ratio_2011,8,19
fi_age_interaction_2011,6,20
fi_broad_exploratory_2011,5,21
marital_code_2011_1.0,4,22
education_code_2011_2.0,3,23
sex_code_2011_1.0,2,24
newhba1c_2011,2,25
health_compared_peer_2011_1.0,2,26
alcohol_frequency_code_2011_1.0,1,27
qc1_vb004_2011,1,28
education_code_2011_1.0,1,29
functional_difficulty_14_2011,1,30
newldl_2011,1,31
education_code_2011_6.0,1,32
education_code_2011_7.0,0,33
education_code_2011_3.0,0,34
education_code_2011_5.0,0,35
education_code_2011_4.0,0,36
sad_or_depressed_2011_2.0,0,37
education_code_2011_8.0,0,38
sad_or_depressed_2011_3.0,0,39
sad_or_depressed_2011_4.0,0,40
sad_or_depressed_2011_1.0,0,41
depressed_frequency_2011_2.0,0,42
education_code_2011_9.0,0,43
self_rated_health_2011_4.0,0,44
alcohol_frequency_code_2011_2.0,0,45
depressed_frequency_2011_3.0,0,46
alcohol_frequency_code_2011_0.0,0,47
health_compared_peer_2011_5.0,0,48
health_compared_peer_2011_4.0,0,49
health_compared_peer_2011_3.0,0,50
health_compared_peer_2011_2.0,0,51
self_rated_health_2011_5.0,0,52
self_rated_health_2011_3.0,0,53
education_code_2011_10.0,0,54
self_rated_health_2011_2.0,0,55
self_rated_health_2011_1.0,0,56
marital_code_2011_6.0,0,57
marital_code_2011_5.0,0,58
marital_code_2011_3.0,0,59
marital_code_2011_2.0,0,60
depressed_frequency_2011_4.0,0,61
depressed_frequency_2011_1.0,0,62
marital_code_2011_4.0,0,63
fi_broad_high_2011,0,64
sex_code_2011_0.0,0,65
newhdl_2011,0,66
functional_difficulty_8_2011,0,67
functional_difficulty_7_2011,0,68
functional_difficulty_6_2011,0,69
functional_difficulty_5_2011,0,70
functional_difficulty_4_2011,0,71
functional_difficulty_3_2011,0,72
functional_difficulty_2_2011,0,73
chronic_disease_14_2011,0,74
chronic_disease_13_2011,0,75
chronic_disease_12_2011,0,76
chronic_disease_11_2011,0,77
chronic_disease_10_2011,0,78
chronic_disease_9_2011,0,79
chronic_disease_8_2011,0,80
chronic_disease_6_2011,0,81
chronic_disease_4_2011,0,82
chronic_disease_3_2011,0,83
functional_difficulty_9_2011,0,84
functional_difficulty_10_2011,0,85
functional_difficulty_11_2011,0,86
bmi_overweight_2011,0,87
current_smoking_2011,0,88
fi_high_2011,0,89
high_bp_measured_2011,0,90
pulse_pressure_2011,0,91
diastolic_bp_mean_2011,0,92
bmi_to_fi_2011,0,93
bmi_obesity_2011,0,94
bmi_underweight_2011,0,95
functional_difficulty_12_2011,0,96
functional_difficulty_20_2011,0,97
functional_difficulty_19_2011,0,98
functional_difficulty_18_2011,0,99
functional_difficulty_17_2011,0,100
functional_difficulty_16_2011,0,101
functional_difficulty_15_2011,0,102
functional_difficulty_13_2011,0,103
sad_or_depressed_2011_5.0,0,104
