fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0025252525252525255,0.6603119098288169
0.0003904724716907458,0.0025252525252525255,0.6200914063469035
0.0003904724716907458,0.005050505050505051,0.6039097464497927
0.0007809449433814916,0.005050505050505051,0.600849337315221
0.0007809449433814916,0.007575757575757576,0.5959679721703222
0.004295197188598204,0.007575757575757576,0.5724138295814095
0.004295197188598204,0.010101010101010102,0.5712674342553453
0.005857087075361187,0.010101010101010102,0.5664238265122128
0.005857087075361187,0.012626262626262626,0.565930010271471
0.006247559547051933,0.012626262626262626,0.5656717598961771
0.006247559547051933,0.015151515151515152,0.5655903224805402
0.006638032018742679,0.015151515151515152,0.5626519210137357
0.006638032018742679,0.017676767676767676,0.5598289502094674
0.007809449433814916,0.017676767676767676,0.5578742839309994
0.007809449433814916,0.020202020202020204,0.5571367896395311
0.008590394377196407,0.020202020202020204,0.5557803730285448
0.008590394377196407,0.027777777777777776,0.5532292996646637
0.009371339320577899,0.027777777777777776,0.5522119525983775
0.009371339320577899,0.03282828282828283,0.5509594306780737
0.009761811792268645,0.03282828282828283,0.5507099912445615
0.009761811792268645,0.04040404040404041,0.5483354245734521
0.011323701679031628,0.04040404040404041,0.5459349346169279
0.011323701679031628,0.04292929292929293,0.5455638935179253
0.013276064037485357,0.04292929292929293,0.5384318848994455
0.013276064037485357,0.045454545454545456,0.5378687367828452
0.014057008980866849,0.045454545454545456,0.536795278743025
0.014057008980866849,0.050505050505050504,0.53559738013075
0.01483795392424834,0.050505050505050504,0.5347332411163467
0.01483795392424834,0.05555555555555555,0.5342591585724753
0.016399843811011325,0.05555555555555555,0.5334058479071828
0.016399843811011325,0.06060606060606061,0.5323258105444001
0.017571261226083563,0.06060606060606061,0.5314299477029463
0.017961733697774308,0.06313131313131314,0.531129720872618
0.019133151112846546,0.06313131313131314,0.5300721856389924
0.019133151112846546,0.06818181818181818,0.5296425721004356
0.02069504099960953,0.06818181818181818,0.5279050243436941
0.02069504099960953,0.0707070707070707,0.5279046860078039
0.02225693088637251,0.0707070707070707,0.5262129226183238
0.02225693088637251,0.07575757575757576,0.5259623528224048
0.022647403358063256,0.07575757575757576,0.5253832596271246
0.022647403358063256,0.08080808080808081,0.5251440511011911
0.02342834830144475,0.08080808080808081,0.5247056257026942
0.02342834830144475,0.08585858585858586,0.5244652796992142
0.024990238188207732,0.08585858585858586,0.5234062010320444
0.024990238188207732,0.09090909090909091,0.5227059988979972
0.02616165560327997,0.09090909090909091,0.5221221543563145
0.02694260054666146,0.09090909090909091,0.521814109882363
0.028114017961733698,0.09090909090909091,0.5210625471420496
0.028114017961733698,0.09595959595959595,0.5206761016916369
0.02889496290511519,0.09595959595959595,0.5203157373328656
0.02889496290511519,0.09848484848484848,0.5202535996420965
0.030456852791878174,0.09848484848484848,0.519391722994818
0.030456852791878174,0.10101010101010101,0.5190968388985022
0.03084732526356892,0.10101010101010101,0.5187674948414045
0.03084732526356892,0.10353535353535354,0.5186581894658856
0.032409215150331905,0.10353535353535354,0.5173101668509507
0.032409215150331905,0.10606060606060606,0.517267836262843
0.033190160093713394,0.10606060606060606,0.517032079553311
0.033190160093713394,0.10858585858585859,0.5169543556677256
0.03358063256540414,0.10858585858585859,0.5168940593500351
0.03358063256540414,0.11363636363636363,0.5159064156049724
0.03436157750878563,0.11363636363636363,0.5149633837193954
0.03436157750878563,0.11616161616161616,0.5147650812562075
0.035142522452167126,0.11616161616161616,0.5131250227574105
0.035142522452167126,0.11868686868686869,0.5129962159090251
0.03553299492385787,0.11868686868686869,0.5129870005413154
0.03553299492385787,0.12121212121212122,0.5129309563114545
0.03631393986723936,0.12121212121212122,0.51272536839724
0.03631393986723936,0.12626262626262627,0.5125356195879783
0.04060913705583756,0.12626262626262627,0.5104639710443075
0.04060913705583756,0.12878787878787878,0.5103566225466023
0.04139008199921906,0.12878787878787878,0.5102826226532521
0.04139008199921906,0.13131313131313133,0.510111587827774
0.04217102694260055,0.13131313131313133,0.5099694628948859
0.04217102694260055,0.13383838383838384,0.5090805332451516
0.04334244435767278,0.13383838383838384,0.5075629359426403
0.04334244435767278,0.13636363636363635,0.5073515967237485
0.04412338930105428,0.1388888888888889,0.5065376408424351
0.04412338930105428,0.1414141414141414,0.5061333684156022
0.04490433424443577,0.1414141414141414,0.5055797857025529
0.04490433424443577,0.14646464646464646,0.5055244153075804
0.04724716907458024,0.14646464646464646,0.5043745083794847
0.04724716907458024,0.14898989898989898,0.5040706187811964
0.0511518937914877,0.14898989898989898,0.5028303239450022
0.0511518937914877,0.15151515151515152,0.5027615755618129
0.053494728621632175,0.15151515151515152,0.5022909952213871
0.053494728621632175,0.15404040404040403,0.50227222757431
0.05388520109332292,0.15404040404040403,0.5022069516416542
0.05388520109332292,0.15656565656565657,0.5022051444000964
0.05505661850839516,0.15656565656565657,0.502040782023882
0.05583756345177665,0.1590909090909091,0.5016126466979777
0.05739945333853963,0.1590909090909091,0.5000349184111819
0.05739945333853963,0.16666666666666666,0.4993708794570632
0.05857087075361187,0.16666666666666666,0.49902447140128176
0.05857087075361187,0.1691919191919192,0.4989787396069975
0.06130417805544709,0.1691919191919192,0.4978812398958697
0.06130417805544709,0.1717171717171717,0.4977381897955377
0.06130417805544709,0.17929292929292928,0.4969914524786502
0.06130417805544709,0.18434343434343434,0.4967467470035017
0.06169465052713784,0.18434343434343434,0.4966002019098305
0.06169465052713784,0.18686868686868688,0.4964402765516404
0.06481843030066381,0.18686868686868688,0.494507692955971
0.0655993752440453,0.18686868686868688,0.49402765500495627
0.06677079265911753,0.18686868686868688,0.4931852442395858
0.06677079265911753,0.1893939393939394,0.4930587086368238
0.06833268254588051,0.1893939393939394,0.4925667137136138
0.06872315501757126,0.1919191919191919,0.49247787130937193
0.069113627489262,0.1919191919191919,0.4924512302638543
0.069113627489262,0.19444444444444445,0.4921498899312764
0.06989457243264349,0.19444444444444445,0.49205863922475745
0.06989457243264349,0.1994949494949495,0.4916259245298233
0.070675517376025,0.1994949494949495,0.4910635258790547
0.07145646231940649,0.20202020202020202,0.49105968934534433
0.07653260445138618,0.20202020202020202,0.4892331068458901
0.07770402186645842,0.20202020202020202,0.48855606636432997
0.07809449433814916,0.20202020202020202,0.48836522183383385
0.07809449433814916,0.20454545454545456,0.4883633553261703
0.08121827411167512,0.20454545454545456,0.48664932527785887
0.08160874658336588,0.20959595959595959,0.4865742933754656
0.08199921905505662,0.20959595959595959,0.4865028980046599
0.08199921905505662,0.21212121212121213,0.48620937490554056
0.0835611089418196,0.21212121212121213,0.4859958363982383
0.0835611089418196,0.21464646464646464,0.48596731863866277
0.0843420538852011,0.21464646464646464,0.48585498374078373
0.0843420538852011,0.21717171717171718,0.48579592256488696
0.08590394377196407,0.21717171717171718,0.48440200512359494
0.08824677860210856,0.21717171717171718,0.48437861805137133
0.08902772354549005,0.21717171717171718,0.4843193871949161
0.08902772354549005,0.2196969696969697,0.4842184667024679
0.08941819601718079,0.2196969696969697,0.4838237891164476
0.09019914096056228,0.2196969696969697,0.4838147544169283
0.09176103084732526,0.2196969696969697,0.48223769848325
0.09254197579070675,0.2196969696969697,0.48211737961226
0.09293244826239751,0.2196969696969697,0.4817657209193027
0.09332292073408825,0.22474747474747475,0.4816462562208504
0.09449433814916049,0.22474747474747475,0.4813380378158464
0.09449433814916049,0.22727272727272727,0.48106147563319873
0.09527528309254198,0.22727272727272727,0.48083038202541195
0.09527528309254198,0.23232323232323232,0.48061636099313965
0.09605622803592347,0.23232323232323232,0.4805651778074238
0.09605622803592347,0.23484848484848486,0.4800696948434381
0.09644670050761421,0.23484848484848486,0.480046333606133
0.09800859039437719,0.23737373737373738,0.47989670462296025
0.09918000780944944,0.23737373737373738,0.47889315519244413
0.09996095275283093,0.23737373737373738,0.47888859731369293
0.10191331511128465,0.23737373737373738,0.4783973488694923
0.10347520499804763,0.23737373737373738,0.478320585531416
0.10347520499804763,0.2398989898989899,0.4771917879096496
0.10425614994142914,0.2398989898989899,0.47713984216229605
0.10542756735650137,0.2398989898989899,0.4762404980715528
0.10542756735650137,0.24242424242424243,0.4762159572485827
0.10581803982819211,0.24242424242424243,0.47556449843404724
0.10581803982819211,0.2474747474747475,0.47415882202011056
0.10620851229988286,0.2474747474747475,0.4741536671217793
0.10620851229988286,0.25,0.47368794539392056
0.1073799297149551,0.25,0.47234985010037894
0.10816087465833658,0.25,0.4721468973165294
0.10855134713002733,0.25,0.47174411954962575
0.10855134713002733,0.25252525252525254,0.47153186913198103
0.11128465443186256,0.25252525252525254,0.4698236007791714
0.11128465443186256,0.255050505050505,0.46962466558810045
0.11245607184693479,0.255050505050505,0.46893329826690494
0.11245607184693479,0.25757575757575757,0.4687490084741459
0.11284654431862554,0.25757575757575757,0.4680940206511254
0.11284654431862554,0.2601010101010101,0.46789609474683547
0.11323701679031628,0.2601010101010101,0.46777142266898974
0.11323701679031628,0.26262626262626265,0.4675649145638766
0.11362748926200703,0.26262626262626265,0.46745594487264824
0.11362748926200703,0.2676767676767677,0.46613332573271393
0.11518937914877002,0.2676767676767677,0.46561915042065044
0.11518937914877002,0.2702020202020202,0.46561858320343313
0.11792268645060523,0.2702020202020202,0.464401915501978
0.11792268645060523,0.2727272727272727,0.4633342542794005
0.11870363139398672,0.2727272727272727,0.46294657319583254
0.11870363139398672,0.27525252525252525,0.4625230106670878
0.12260835611089418,0.27525252525252525,0.4603600652117897
0.12260835611089418,0.2777777777777778,0.459829603795981
0.12573213588442014,0.2777777777777778,0.45806651633274365
0.12573213588442014,0.2803030303030303,0.4574987919063413
0.1261226083561109,0.2803030303030303,0.4571341278524704
0.1261226083561109,0.2828282828282828,0.4570416069785708
0.12768449824287387,0.2828282828282828,0.455806443650111
0.12768449824287387,0.2878787878787879,0.45552253271672316
0.13002733307301836,0.2878787878787879,0.45318167163311984
0.13002733307301836,0.2904040404040404,0.45296863246386165
