target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2013,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3561240760656717,0.6330316742081448,0.05597161184158626,0.03938730853391685,0.6,0.020361990950226245,0.5101809954751131,0.48981900452488686,0.4,1353,1299,18,27,0.4916573971078977,0.5083426028921023
heart_related_event_by_2013,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.42954015012024305,0.6605077928607339,0.04368891587254652,0.04807692307692308,0.6666666666666666,0.02493765586034913,0.5576923076923077,0.4423076923076923,0.3333333333333333,1479,1173,15,30,0.4460511679644049,0.5539488320355951
heart_related_event_by_2013,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.45019423961639404,0.639693313222725,0.02946733301223028,0.044849334267694455,0.7111111111111111,0.023154848046309694,0.49095022624434387,0.5090497737556561,0.28888888888888886,1302,1350,13,32,0.5124212087504635,0.4875787912495365
heart_related_event_by_2013,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.26579997976146014,0.6625398022456847,0.039075159710103564,0.0440028388928318,0.6888888888888889,0.022727272727272728,0.4973604826546003,0.5026395173453997,0.3111111111111111,1319,1333,14,31,0.5057471264367817,0.49425287356321834
heart_related_event_by_2013,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4203116032163604,0.6454583542818838,0.05642250421510924,0.043887147335423204,0.6222222222222222,0.022745735174654752,0.5463800904977375,0.45361990950226244,0.37777777777777777,1449,1203,17,28,0.4564330737856878,0.5435669262143121
heart_related_event_by_2013,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3782708069173405,0.6480559745265627,0.06801917836569579,0.04314329738058552,0.6222222222222222,0.0223463687150838,0.5380844645550528,0.46191553544494723,0.37777777777777777,1427,1225,17,28,0.4645902855024101,0.5354097144975899
heart_related_event_by_2013,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.41669546978114,0.6521283727166081,0.05956395111331528,0.04587813620071685,0.7111111111111111,0.023703703703703703,0.5030165912518854,0.49698340874811464,0.28888888888888886,1334,1318,13,32,0.5005561735261401,0.4994438264738599
heart_related_event_by_2013,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3878481984138489,0.6355413105413106,0.03885837851255306,0.040283070223189985,0.8222222222222222,0.020647321428571428,0.3382352941176471,0.6617647058823529,0.17777777777777778,897,1755,8,37,0.664441972562106,0.335558027437894
heart_related_event_by_2013,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3034468680057237,0.6800067035361154,0.04745089331860306,0.049165935030728705,0.6222222222222222,0.025594149908592323,0.5980392156862745,0.4019607843137255,0.37777777777777777,1586,1066,17,28,0.40563589173155357,0.5943641082684464
heart_related_event_by_2013,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4191468910605472,0.6568292274174627,0.052779330921103255,0.0425531914893617,0.6,0.022058823529411766,0.5486425339366516,0.4513574660633484,0.4,1455,1197,18,27,0.45383759733036705,0.546162402669633
heart_related_event_by_2013,literature_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4973054237337829,0.6294913691972516,0.04048541909345135,0.05257623554153522,0.5555555555555556,0.02759381898454746,0.6677978883861236,0.3322021116138763,0.4444444444444444,1771,881,20,25,0.3359288097886541,0.6640711902113459
