model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
logistic_regression,0.4880657255530281,0.4880657255530281,0.3107520198881293,0.4880657255530281,0.255288141074943,0.4880657255530281,0.5660401609630723,{'C': 0.055536554303046284},0.6573332899475032
random_forest,0.43159374441091636,0.4601038146674418,0.31976744186046513,0.43159374441091636,0.27486599694721514,0.43159374441091636,0.5929647172397197,"{'n_estimators': 291, 'max_depth': 12, 'min_samples_leaf': 10}",0.6738987887465046
xgboost,0.44786107540130615,0.45283201336860657,0.3174971031286211,0.44786107540130615,0.2806747679844128,0.44786107540130615,0.5974168494323766,"{'n_estimators': 221, 'max_depth': 2, 'learning_rate': 0.09076208542956068, 'subsample': 0.8114866872383018, 'colsample_bytree': 0.8007749879382596, 'reg_lambda': 1.8417822275621858, 'scale_pos_weight': 6.214608586868497}",0.672819073199784
lightgbm,0.41117045834524396,0.43164320019345104,0.3154716981132075,0.3726353324688154,0.2528969902066349,0.41117045834524396,0.5640215923266022,"{'n_estimators': 352, 'num_leaves': 19, 'max_depth': 2, 'learning_rate': 0.07611834710337814, 'min_child_samples': 51, 'subsample': 0.7293169468106907, 'colsample_bytree': 0.8824041846464106, 'scale_pos_weight': 4.393218660930212}",0.6685238760111857
catboost,0.5037717978022678,0.5037717978022678,0.3278008298755187,0.5037717978022678,0.28103072900027204,0.5037717978022678,0.6088315588757907,"{'iterations': 321, 'depth': 3, 'learning_rate': 0.06113039728453088, 'l2_leaf_reg': 1.3085841629107544}",0.6763037441971452
